ID,shell_R,shell_L,core_L,core_R,mOFC
1,0.000327340082317,-0.002840145688189,-0.010084585125623,0.00587521501841,0.006221045983363
2,0.016412333640867,0.001754793801387,0.009645579418906,0.021384320064051,0.01032263002443
3,-0.003492583547769,-0.013298924714565,-0.026397385778663,-0.00937877212628,-0.008508070022799
4,-0.007022400911333,0.008186811488325,-0.00626932725739,-0.006163979842728,0.007437560956036
5,0.008010382818445,0.005808749453943,0.007896086297457,0.019969232967822,-0.003279458884869
6,0.010528448618667,0.008356698617678,0.005274058833294,0.009039671828482,0.002161204828801
7,0.017653591614124,0.029203817807667,0.045801463906027,0.011371861181227,0.019031386719937
9,2.7138587433405E-05,-0.003793719028657,-0.004925724697345,-0.002913650103622,6.2330639180304E-05
10,0.016635409240235,0.016277856355009,0.009707520824446,0.00408882438822,0.013222028966993
11,-0.005934437888903,0.014569227208743,0.02013965781384,0.001129538355617,0.008733726892387
12,-0.005881462374674,-0.000364186894519,-0.004670971103109,-0.008208968941368,0.016322164711627
13,0.005423850226398,0.00489273832685,-0.005152749407888,-0.00025324458608,0.025945931736549
14,-0.007733111381337,0.007721051578436,0.014403263612747,0.006154927092904,0.012261887712984
15,0.016160706710127,-0.002486339625029,-0.040180748888355,-0.016536893278152,0.011488881427795
16,0.01445579468518,0.021618964907036,0.046614653167272,0.05386170312091,0.027229387754977
17,0.007204399141812,0.004773013119372,0.004964972690592,0.013742156378257,0.014178701136685
18,0.028715995048212,0.036933237769937,0.028552050079385,0.007612119846609,0.025882755279202
20,0.017572955590189,0.00081297208899,0.015804561907954,0.024943618002368,0.028217912016606
21,0.011031794052292,-0.008521672985821,-0.008217815593065,-0.003396442341872,0.015737673997964
22,-0.028742718318159,-0.011889523901416,-0.009550210324082,0.005879338815271,0.018066525321708
23,-0.024184799661823,-0.005472633880497,0.021508289387855,0.008011263383791,0.023476371552203
24,0.007447042045801,0.011020226970395,-0.015208583956734,0.014732219487913,0.032695804394528
25,0.020752290246902,-0.000997822506311,-0.011744452953531,0.022443621146799,0.015257622295229
26,0.009702448070088,0.007405161721386,0.006312001373333,0.003980456118232,0.006271928090097
