ID,shell_R,shell_L,core_L,core_R,mOFC
1,0.059882921770099,0.123075949236412,0.136891113989251,0.04860814454372,-0.030635578642515
2,0.079321088113562,0.015901535264513,0.095324081704609,0.084459291591408,-0.032196692452999
3,-0.030771743114076,-0.00877270693269,-0.028303652162416,-0.057548572084906,-0.039105518975041
4,0.057502180693524,0.025094884915531,-0.032439981306898,0.030449607570568,0.00312566829168
5,-0.034978630678619,0.028324168986847,0.00261489830765,-0.030062020184274,-0.010162497748917
6,0.054101776798846,0.058944816829389,0.079054314431065,0.109796716244229,0.011958067855713
7,0.039234934016694,0.015538599222729,0.017674785732772,0.007895708655989,0.013757483314046
9,-0.054344285332085,-0.051024155120619,-0.061345183526048,-0.04010637273934,-0.091111720624295
10,0.005373602539942,0.050904733163559,5.4755018393097E-05,0.025223198240868,0.209908528422767
11,0.003507898810009,0.011709406135011,0.006856217506026,0.00703759849406,0.06530448438769
12,0.015804921646657,0.083737241610334,0.070746966911021,0.02107179942594,0.035235182128169
13,0.07050741552381,0.06986743925224,0.090185885534397,0.125136187311905,0.044074394666082
14,-0.032010223354174,0.004641344818361,-0.006019649004926,0.010302940175542,0.007250627045075
15,2.01744481874021E-05,-0.061264874032151,-0.082760665613232,-0.000143749329591,0.017912410968496
16,0.010659668139209,-0.021752332678827,-0.05456104497064,-0.05403455127111,-0.116494542532812
17,0.038469336218839,0.077424114260145,0.105596027971277,0.160857434857277,-0.049133043089321
18,0.075877879486702,0.031983449614226,0.074595406808725,0.030988227872005,-0.013076771923807
20,0.072330525685305,0.011877106212037,-0.038833914299217,-0.057831624294794,0.06585956859106
21,-0.028144606059262,-0.021711825864411,0.010574518001756,0.031140537644136,-0.01347407420822
22,0.101233582510069,0.103171554145837,0.170814276498946,0.136545771730563,0.076725781810555
23,-0.001023889071636,-0.009538087648107,0.04670103511575,0.00060980668982,-0.004339311742569
24,0.118409876605238,0.114345088411461,0.095022951029295,0.100943796363206,-0.036880301660858
25,0.013163981978793,-0.01997800061511,0.031278354877,-0.023948026526766,0.066890983175571
26,0.008099384873202,0.022458012113156,0.042664898676279,-0.006978444414328,-0.02703592181338
