ID,shell,core,mOFC
1,-0.001171900170504,-0.010084585125623,0.006221045983363
2,0.009474599637671,0.009645579418906,0.01032263002443
3,-0.008134139177492,-0.026397385778663,-0.008508070022799
4,0.000176451773531,-0.00626932725739,0.007437560956036
5,0.006968301621821,0.007896086297457,-0.003279458884869
6,0.009500511871211,0.005274058833294,0.002161204828801
7,0.023120566146352,0.045801463906027,0.019031386719937
9,-0.001781356841869,-0.004925724697345,6.2330639180304E-05
10,0.016466171643958,0.009707520824446,0.013222028966993
11,0.00377039498864,0.02013965781384,0.008733726892387
12,-0.003270015288542,-0.004670971103109,0.016322164711627
13,0.005172463354839,-0.005152749407888,0.025945931736549
14,-0.000418318242029,0.014403263612747,0.012261887712984
15,0.007334652076447,-0.040180748888355,0.011488881427795
16,0.017846279729948,0.046614653167272,0.027229387754977
17,0.006053570990055,0.004964972690592,0.014178701136685
18,0.032605395647996,0.028552050079385,0.025882755279202
20,0.009640089044871,0.015804561907954,0.028217912016606
21,0.001776710686576,-0.008217815593065,0.015737673997964
22,-0.020765733009029,-0.009550210324082,0.018066525321708
23,-0.015327922570834,0.021508289387855,0.023476371552203
24,0.009138308576375,-0.015208583956734,0.032695804394528
25,0.010457486448049,-0.011744452953531,0.015257622295229
26,0.008615092225177,0.006312001373333,0.006271928090097
