ID	PIT_CS_VS_right_betas	PIT_CS_VS_left_betas	PIT_EFF_VSDL_right_betas	PIT_Eff_VSDL_left_betas
01	-0.00517675723247708	-0.00277594267390668	-0.00152609273265932	-0.0152393537989285
02	0.0214768959782445	0.0133183514391182	0.00639810455795196	0.00728429580839085
03	-0.00191461484997163	-0.0245503457348712	-0.0180728871555993	-0.0321790943286032
04	-0.0112767907464728	-0.00564864362411968	-0.0108394615530084	-0.00892370661354757
05	0.0193494509163802	0.0137860654127401	0.0109822501046863	0.00233792205103133
06	0.000262934579484117	0.00229544812292956	0.0120509623855221	0.0132561623651002
07	0.00586801438755804	0.0684207246693618	0.0189776124355482	0.0336901671552498
09	0.0173009823043592	0.00230618810746819	-0.00696334032606985	-0.00868499279729024
10	0.0237901530602427	0.0133173949870979	0.0127726885276896	0.00173940566809116
11	-0.00104972637610701	0.0145473309539204	0.00518208642546148	0.0129396582603346
12	-0.00502041799802847	-0.00661724244641578	-0.0140239903045661	-0.00735425421953551
13	-0.00239440870101158	-0.000655560699455878	-0.0153296600228596	-0.00870289551759405
14	0.00502026027653557	0.0308006975580664	-0.00252480007777619	0.00188589341539357
15	0.036996873064289	-0.0415515318540308	-0.0133069115042665	-0.046698955660187
16	0.0338917955553207	0.0401422748520203	0.0327289669128897	0.0586718629380422
17	0.03553885557444	0.0157218587401611	0.0110019353122372	0.00546892561459182
18	0.037219320752252	0.00868633039713399	0.0278964744296451	0.0358633727600266
20	0.0224244493591145	0.0238458364654113	0.0125313108161775	0.0109439210434825
21	0.010731277108276	-0.0101075793003581	-0.00131010533482072	-0.00559816373404049
22	-0.00848237959106859	-0.0300578397993163	0.0229062180690786	-0.00591281103302858
23	-0.0401885283585542	0.0429962252177682	0.000308189827462359	-0.00632470254911043
24	0.0274831558912037	0.00408167746397393	0.0006825242434589	-0.00273876562631423
25	0.0249444866576829	0.00381179374081137	0.00444477587101479	-0.00980767649016343
26	0.000342459877570852	0.00889180524181403	0.00755340688164171	-0.00442607430907499
