ID,shell,core,mOFC
1,0.0897935629977,0.093481906593193,-0.030635578642515
2,0.049303227470725,0.090089406133041,-0.032196692452999
3,-0.020359118415485,-0.044810865400121,-0.039105518975041
4,0.042163099215128,-0.005784476808996,0.00312566829168
5,-0.005016031869663,-0.012689949332306,-0.010162497748917
6,0.056394093508656,0.091092498799398,0.011958067855713
7,0.02801894078375,0.011985686636595,0.013757483314046
9,-0.052772795128723,-0.056584913418401,-0.091111720624295
10,0.026924481922893,0.012155469302709,0.209908528422767
11,0.007389851502566,0.006893062343367,0.06530448438769
12,0.047958773608811,0.045041707198855,0.035235182128169
13,0.070204500765321,0.111235070138656,0.044074394666082
14,-0.014662234976468,0.003918519967472,0.007250627045075
15,-0.028987378619098,-0.046345063151598,0.017912410968496
16,-0.004681640337486,-0.052140132234708,-0.116494542532812
17,0.056907484172986,0.136296074634723,-0.049133043089321
18,0.055101686345685,0.049974216184344,-0.013076771923807
20,0.043716600805531,-0.05216525706445,0.06585956859106
21,-0.025099830579771,0.024276984989176,-0.01347407420822
22,0.102150866847136,0.155893631929789,0.076725781810555
23,-0.005053845368589,0.023419236121728,-0.004339311742569
24,0.116485923501471,0.09722541988492,-0.036880301660858
25,-0.002522842828992,0.004213175632393,0.066890983175571
26,0.014895637009152,0.017932382821461,-0.02703592181338
