ID	HED_VS_VM_betas	HED_VS_small_betas	HED_mOFC_betas
01	-0.0073503947322407	0.00329924579709768	0.0062210459833626
02	0.01293650843007	0.0192425403511152	0.0103226300244304
03	0.0110851896093472	0.00129625189583749	-0.00850807002279907
04	0.0116248331031497	-0.0181338432128541	0.00743756095603616
05	0.00770452215434297	0.0393380106426775	-0.00327945888486945
06	0.0254554546340124	0.014650383614935	0.00216120482880135
07	0.039913092886931	0.0371941369026899	0.0190313867199372
09	0.0137904961532178	-0.00297522181645036	6.2330639180304e-05
10	0.0394438563993103	0.0181846846826375	0.0132220289669931
11	0.0050170733225777	0.0164721419569105	0.00873372689238749
12	0.0147385390009731	-0.0140245483256876	0.0163221647116271
13	0.0134113271457241	-0.0107058887835592	0.0259459317365492
14	0.0244514752718571	-0.00374637340137269	0.0122618877129836
15	0.0363242456591443	0.0436284695286304	0.0114888814277947
16	0.0436518157427934	0.0605608118698001	0.0272293877549766
17	0.0244403017476495	0.0318010297603905	0.0141787011366846
18	0.0453133780545996	0.0252680233446881	0.0258827552792024
20	0.00980168143532386	0.033362383954227	0.0282179120166058
21	-0.00841974968658944	0.00401064642937854	0.0157376739979637
22	0.002692160003598	0.0251097287080484	0.0180665253217078
23	0.00651805531723719	0.0106437908951193	0.0234763715522025
24	0.0329735343785662	0.015913487225771	0.0326958043945276
25	-0.0109542278958926	0.0288055479060858	0.0152576222952286
26	0.016090138643784	-0.00372647502517793	0.00627192809009681
