ID	PIT_CS_VS_right_betas	PIT_CS_VS_left_betas	PIT_EFF_VSDL_right_betas	PIT_Eff_VSDL_left_betas
01	0.0926915547774675	0.204921605503734	0.0148845533915953	0.0489996327715094
02	0.144889885834299	0.115751378525815	0.091267304964607	0.0588564456307462
03	-0.00661202068798817	-0.00963904752279632	-0.0168782743011517	-0.0584377835770803
04	0.0219373940669287	-0.0439283811651609	-0.0544982187381141	-0.0785789051151369
05	-0.0444825279693573	0.042080836603418	-0.0815549144739067	-0.0648836500606454
06	0.120732269369257	0.140420786269447	0.0813288285907066	0.0704998117970912
07	0.0426373052924203	0.0513081704874126	-0.0368073349679683	-0.0564136988184016
09	-0.0566401139188271	-0.0542376429143855	-0.104383712370006	-0.0802350577632231
10	0.0797268412589358	0.0724929690032321	-0.0371495605706821	-0.05861729118208
11	-0.000773314908982661	0.0125455055334468	0.0440213973460078	0.0482439911845306
12	0.0303542175895881	0.0545873082816851	0.0377943620182855	0.00961493622910763
13	0.0778247877859916	0.0868970647536437	0.0755925653757476	0.1047507179901
14	0.00477522728630365	-0.00872113507391666	0.0341067287255254	0.0440518363029696
15	0.0376616751078146	-0.0401428626637961	0.0140243326842954	-0.0255185064859688
16	0.126984529818098	-0.0263223504264127	0.0124480083627118	-0.0172839952896798
17	0.163408950030899	0.109087875030716	0.173780784313265	0.130551561327385
18	0.160582516628962	0.12547441900653	0.0614695569735426	0.0687600412996419
20	0.032095368915739	0.0172536890775732	-0.0783056121776122	-0.0416777545361713
21	0.061715997588367	0.0548231870394803	0.0574804119748372	0.030563882239429
22	0.201139408617448	0.172650869168779	0.188170714086139	0.172262034618429
23	-0.0164560630036225	0.0651150156798608	0.0102175691561144	0.0431388711532886
24	0.0802882870880123	0.15316548801082	0.0575154020825485	0.0805607964900056
25	0.0549222884508662	0.00558954366287627	-0.0132570183240996	0.00412454832943955
26	-0.0222889483273507	0.0693106868318008	-0.00459486782139496	-0.0102278134087101
