ID	HED_VS_VM_betas	HED_VS_small_betas	HED_mOFC_betas
01	0.171185875409528	0.00921687986701727	-0.0306355786425146
02	0.102054912204805	0.0531878523528576	-0.0321966924529988
03	0.0149796246550977	-0.0839734461158514	-0.0391055189750411
04	0.0563275713081423	0.00462127812206745	0.00312566829167984
05	-0.0990399084433815	-0.0623151773121208	-0.0101624977489171
06	0.0372775965860408	0.115714683197439	0.011958067855713
07	-2.67350850136656e-05	0.0521183636039495	0.0137574833140455
09	-0.137938559055328	-0.0206533302203752	-0.0911117206242952
10	0.188623337369216	0.12381278835237	0.209908528422767
11	-0.0751082350156809	-0.0247114946134388	0.0653044843876904
12	0.0398616521178108	0.0350374638452195	0.0352351821281693
13	0.0937717196188475	0.105248843505979	0.0440743946660818
14	2.25480302776161e-05	0.0590498663019389	0.00725062704507516
15	-0.0354257890660512	0.0293306874576956	0.0179124109684959
16	0.067570949022315	0.0398941586958244	-0.116494542532812
17	0.0141090216531761	0.169325290434062	-0.0491330430893206
18	0.103486264415551	0.0629711402798421	-0.0130767719238065
20	0.0780652799202423	-0.100001103943214	0.0658595685910603
21	0.0115788309393745	0.0215937435626984	-0.01347407420822
22	0.200619699139344	0.165960115194321	0.0767257818105546
23	0.0107393302023411	-0.0015117677336093	-0.00433931174256941
24	0.183532608967078	0.0577029259875417	-0.0368803016608581
25	-0.0164892981686678	0.00572075643576682	0.066890983175571
26	-0.0104333051832854	-0.0270368395606056	-0.0270359218133804
