task id session trial condition trialxcondition perceived_liking perceived_intensity EMG
hedonic 02 two 46 empty 16 56.779661 16.949153 0.000102
hedonic 02 two 47 empty 17 50.000000 12.711864 0.000081
hedonic 02 two 48 empty 18 50.000000 12.711864 0.000076
hedonic 02 two 49 chocolate 16 62.711864 57.627119 0.000092
hedonic 02 two 50 chocolate 17 64.406780 42.372881 0.000088
hedonic 02 two 51 chocolate 18 55.932203 21.186441 0.000093
hedonic 02 two 52 neutral 16 27.966102 74.576271 0.000118
hedonic 02 two 53 neutral 17 44.067797 22.033898 0.000081
hedonic 02 two 54 neutral 18 31.355932 50.000000 0.000121
hedonic 03 two 1 neutral 1 50.000000 63.559322 0.000138
hedonic 03 two 2 neutral 2 50.000000 63.559322 0.000128
hedonic 03 two 3 neutral 3 42.372881 66.101695 0.000118
hedonic 03 two 4 chocolate 1 62.711864 82.203390 0.000103
hedonic 03 two 5 chocolate 2 65.254237 80.508475 0.000127
hedonic 03 two 6 chocolate 3 61.864407 77.118644 0.000127
hedonic 03 two 7 empty 1 50.000000 17.796610 0.000153
hedonic 03 two 8 empty 2 50.000000 14.406780 0.000113
hedonic 03 two 9 empty 3 50.000000 12.711864 0.000183
hedonic 03 two 10 chocolate 4 73.728814 78.813559 0.000124
hedonic 03 two 11 chocolate 5 70.338983 77.966102 0.000125
hedonic 03 two 12 chocolate 6 70.338983 77.118644 0.000134
hedonic 03 two 13 empty 4 50.000000 19.491525 0.000107
hedonic 03 two 14 empty 5 50.000000 13.559322 0.000147
hedonic 03 two 15 empty 6 50.000000 12.711864 0.000157
hedonic 03 two 16 neutral 4 50.000000 15.254237 0.000144
hedonic 03 two 17 neutral 5 50.000000 19.491525 0.000127
hedonic 03 two 18 neutral 6 50.000000 18.644068 0.000131
hedonic 03 two 19 empty 7 50.000000 14.406780 0.000200
hedonic 03 two 20 empty 8 50.000000 12.711864 0.000115
hedonic 03 two 21 empty 9 50.000000 12.711864 0.000178
hedonic 03 two 22 neutral 7 50.000000 12.711864 0.000125
hedonic 03 two 23 neutral 8 50.000000 27.966102 0.000167
hedonic 03 two 24 neutral 9 50.000000 23.728814 0.000114
hedonic 03 two 25 chocolate 7 63.559322 80.508475 0.000150
hedonic 03 two 26 chocolate 8 73.728814 80.508475 0.000142
hedonic 03 two 27 chocolate 9 69.491525 84.745763 0.000126
hedonic 03 two 28 chocolate 10 64.406780 63.559322 0.000120
hedonic 03 two 29 chocolate 11 61.016949 63.559322 0.000137
hedonic 03 two 30 chocolate 12 64.406780 83.898305 0.000133
hedonic 03 two 31 neutral 10 69.491525 61.864407 0.000129
hedonic 03 two 32 neutral 11 55.932203 19.491525 0.000186
hedonic 03 two 33 neutral 12 50.000000 14.406780 0.000140
hedonic 03 two 34 empty 10 50.000000 12.711864 0.000214
hedonic 03 two 35 empty 11 50.000000 12.711864 0.000171
