ID	PIT_NACcore_betas
01	0.00187613560453482
02	0.0158085416042013
03	-0.0190976932717604
04	-0.0163968553456738
05	-0.00593825364611642
06	-0.00291612287037424
07	0.00295924123801181
09	-0.00897922609746114
10	0.0215963338679798
11	0.000149119945383384
12	-0.0075107905876768
13	-0.00732327941873604
14	0.00746901973145535
15	-0.0248625756837154
16	0.0379244377322988
17	0.00798328253136681
18	0.0866887730183354
20	0.0297729839016136
21	-0.00831115063149756
22	0.010961245649977
23	0.00301678233057935
24	0.0065314894040699
25	0.00731805568744569
26	0.0237653287202942
