ID	PIT_NACcore_betas
01	0.0591459790985562
02	0.170155825360459
03	-0.0265195162466946
04	0.0280624373314341
05	-0.0855977319802418
06	-0.00435361853348749
07	0.031035562429786
09	-0.152168531376553
10	-0.110600590286862
11	0.0144150016610237
12	-0.0540806740331498
13	0.18282339148059
14	0.0549817730095717
15	-0.000930468349799733
16	-0.0280024554248324
17	0.160955630955012
18	0.0289637534844908
20	-0.0053407995874295
21	0.0327743631881758
22	0.208245830172125
23	-0.00713305219816154
24	0.109495824122432
25	0.0433513090641046
26	-0.0978877753402819
