task id session trial rewarded_response n_grips
instrumental_learning 08 one 8 1 7.000000
instrumental_learning 08 one 9 1 11.000000
instrumental_learning 08 one 10 0 11.000000
instrumental_learning 08 one 11 2 10.000000
instrumental_learning 08 one 12 0 6.000000
instrumental_learning 08 one 13 0 1.000000
instrumental_learning 08 one 14 1 1.000000
instrumental_learning 08 one 15 0 1.000000
instrumental_learning 08 one 16 1 6.000000
instrumental_learning 08 one 17 0 1.000000
instrumental_learning 08 one 18 0 2.000000
instrumental_learning 08 one 19 0 0.000000
instrumental_learning 08 one 20 0 3.000000
instrumental_learning 08 one 21 0 0.000000
instrumental_learning 08 one 22 1 3.000000
instrumental_learning 08 one 23 1 2.000000
instrumental_learning 08 one 24 0 3.000000
instrumental_learning 09 one 1 2 6.000000
instrumental_learning 09 one 2 2 12.000000
instrumental_learning 09 one 3 2 13.000000
instrumental_learning 09 one 4 2 13.000000
instrumental_learning 09 one 5 2 13.000000
instrumental_learning 09 one 6 2 15.000000
instrumental_learning 09 one 7 2 13.000000
instrumental_learning 09 one 8 2 14.000000
instrumental_learning 09 one 9 2 13.000000
instrumental_learning 09 one 10 2 12.000000
instrumental_learning 09 one 11 2 14.000000
instrumental_learning 09 one 12 2 13.000000
instrumental_learning 09 one 13 2 13.000000
instrumental_learning 09 one 14 2 13.000000
instrumental_learning 09 one 15 2 14.000000
instrumental_learning 09 one 16 2 12.000000
instrumental_learning 09 one 17 2 10.000000
instrumental_learning 09 one 18 2 13.000000
instrumental_learning 09 one 19 2 13.000000
instrumental_learning 09 one 20 2 14.000000
instrumental_learning 09 one 21 2 15.000000
instrumental_learning 09 one 22 2 12.000000
instrumental_learning 09 one 23 2 13.000000
instrumental_learning 09 one 24 2 11.000000
instrumental_learning 10 one 1 2 3.000000
instrumental_learning 10 one 2 1 5.000000
instrumental_learning 10 one 3 1 7.000000
instrumental_learning 10 one 4 2 7.000000
instrumental_learning 10 one 5 2 7.000000
instrumental_learning 10 one 6 2 8.000000
instrumental_learning 10 one 7 1 8.000000
instrumental_learning 10 one 8 1 7.000000
instrumental_learning 10 one 9 2 9.000000
instrumental_learning 10 one 10 2 8.000000
instrumental_learning 10 one 11 2 9.000000
instrumental_learning 10 one 12 2 9.000000
instrumental_learning 10 one 13 2 10.000000
instrumental_learning 10 one 14 2 11.000000
instrumental_learning 10 one 15 2 10.000000
instrumental_learning 10 one 16 1 10.000000
instrumental_learning 10 one 17 2 10.000000
instrumental_learning 10 one 18 2 10.000000
instrumental_learning 10 one 19 2 10.000000
instrumental_learning 10 one 20 2 10.000000
instrumental_learning 10 one 21 2 11.000000
instrumental_learning 10 one 22 2 10.000000
instrumental_learning 10 one 23 2 11.000000
instrumental_learning 10 one 24 2 11.000000
instrumental_learning 11 one 1 2 14.000000
instrumental_learning 11 one 2 2 17.000000
instrumental_learning 11 one 3 2 17.000000
instrumental_learning 11 one 4 2 18.000000
instrumental_learning 11 one 5 2 17.000000
instrumental_learning 11 one 6 2 18.000000
instrumental_learning 11 one 7 2 16.000000
instrumental_learning 11 one 8 2 14.000000
instrumental_learning 11 one 9 2 12.000000
instrumental_learning 11 one 10 2 18.000000
instrumental_learning 11 one 11 2 17.000000
instrumental_learning 11 one 12 2 7.000000
instrumental_learning 11 one 13 2 8.000000
instrumental_learning 11 one 14 1 10.000000
instrumental_learning 11 one 15 2 7.000000
instrumental_learning 11 one 16 0 7.000000
instrumental_learning 11 one 17 1 12.000000
instrumental_learning 11 one 18 0 12.000000
instrumental_learning 11 one 19 2 7.000000
instrumental_learning 11 one 20 1 11.000000
instrumental_learning 11 one 21 1 3.000000
instrumental_learning 11 one 22 0 9.000000
instrumental_learning 11 one 23 2 7.000000
instrumental_learning 11 one 24 2 12.000000
instrumental_learning 12 one 1 2 11.000000
instrumental_learning 12 one 2 2 16.000000
instrumental_learning 12 one 3 2 18.000000
instrumental_learning 12 one 4 2 18.000000
instrumental_learning 12 one 5 1 17.000000
instrumental_learning 12 one 6 2 20.000000
instrumental_learning 12 one 7 2 17.000000
instrumental_learning 12 one 8 2 18.000000
instrumental_learning 12 one 9 2 14.000000
instrumental_learning 12 one 10 2 16.000000
instrumental_learning 12 one 11 2 18.000000
instrumental_learning 12 one 12 2 18.000000
instrumental_learning 12 one 13 2 15.000000
instrumental_learning 12 one 14 2 15.000000
instrumental_learning 12 one 15 2 14.000000
instrumental_learning 12 one 16 2 18.000000
instrumental_learning 12 one 17 1 13.000000
instrumental_learning 12 one 18 2 14.000000
instrumental_learning 12 one 19 1 16.000000
instrumental_learning 12 one 20 2 15.000000
instrumental_learning 12 one 21 2 19.000000
instrumental_learning 12 one 22 2 7.000000
instrumental_learning 12 one 23 1 10.000000
instrumental_learning 12 one 24 2 10.000000
instrumental_learning 13 one 1 2 20.000000
instrumental_learning 13 one 2 2 22.000000
instrumental_learning 13 one 3 2 20.000000
instrumental_learning 13 one 4 2 18.000000
instrumental_learning 13 one 5 2 18.000000
instrumental_learning 13 one 6 2 16.000000
instrumental_learning 13 one 7 2 18.000000
instrumental_learning 13 one 8 1 15.000000
instrumental_learning 13 one 9 2 15.000000
instrumental_learning 13 one 10 2 13.000000
instrumental_learning 13 one 11 2 14.000000
instrumental_learning 13 one 12 2 13.000000
instrumental_learning 13 one 13 2 14.000000
instrumental_learning 13 one 14 2 11.000000
instrumental_learning 13 one 15 2 13.000000
instrumental_learning 13 one 16 2 12.000000
instrumental_learning 13 one 17 2 14.000000
instrumental_learning 13 one 18 2 12.000000
instrumental_learning 13 one 19 2 12.000000
instrumental_learning 13 one 20 1 15.000000
instrumental_learning 13 one 21 2 15.000000
instrumental_learning 13 one 22 2 12.000000
instrumental_learning 13 one 23 2 14.000000
instrumental_learning 13 one 24 2 13.000000
instrumental_learning 14 one 1 2 10.000000
instrumental_learning 14 one 2 2 12.000000
instrumental_learning 14 one 3 1 10.000000
instrumental_learning 14 one 4 2 12.000000
instrumental_learning 14 one 5 2 10.000000
instrumental_learning 14 one 6 2 11.000000
instrumental_learning 14 one 7 2 9.000000
instrumental_learning 14 one 8 1 11.000000
instrumental_learning 14 one 9 2 9.000000
instrumental_learning 14 one 10 2 8.000000
instrumental_learning 14 one 11 1 8.000000
instrumental_learning 14 one 12 2 8.000000
instrumental_learning 14 one 13 2 10.000000
instrumental_learning 14 one 14 1 9.000000
instrumental_learning 14 one 15 2 9.000000
instrumental_learning 14 one 16 1 7.000000
instrumental_learning 14 one 17 2 9.000000
instrumental_learning 14 one 18 1 7.000000
instrumental_learning 14 one 19 1 8.000000
instrumental_learning 14 one 20 2 5.000000
instrumental_learning 14 one 21 2 7.000000
instrumental_learning 14 one 22 2 9.000000
instrumental_learning 14 one 23 1 8.000000
instrumental_learning 14 one 24 2 10.000000
instrumental_learning 15 one 1 2 13.000000
instrumental_learning 15 one 2 2 15.000000
