task id session trial condition trialxcondition perceived_liking perceived_intensity
hedonic 05 one 1 neutral 1 66.949153 45.762712
hedonic 05 one 2 neutral 2 60.169492 43.220339
hedonic 05 one 3 neutral 3 64.406780 44.915254
hedonic 05 one 4 neutral 4 12.711864 71.186441
hedonic 05 one 5 neutral 5 20.338983 64.406780
hedonic 05 one 6 neutral 6 16.949153 67.796610
hedonic 05 one 7 neutral 7 33.050847 86.440678
hedonic 05 one 8 neutral 8 16.101695 72.881356
hedonic 05 one 9 neutral 9 16.949153 82.203390
hedonic 05 one 10 chocolate 1 77.966102 81.355932
hedonic 05 one 11 chocolate 2 80.508475 80.508475
hedonic 05 one 12 chocolate 3 67.796610 40.677966
hedonic 05 one 13 neutral 10 41.525424 87.288136
hedonic 05 one 14 neutral 11 34.745763 79.661017
hedonic 05 one 15 neutral 12 50.000000 12.711864
hedonic 05 one 16 neutral 13 87.288136 77.118644
hedonic 05 one 17 neutral 14 87.288136 78.813559
hedonic 05 one 18 neutral 15 81.355932 80.508475
hedonic 05 one 19 neutral 16 83.898305 77.118644
hedonic 05 one 20 neutral 17 87.288136 73.728814
hedonic 05 one 21 neutral 18 84.745763 73.728814
hedonic 05 one 22 empty 1 50.000000 12.711864
hedonic 05 one 23 empty 2 41.525424 22.881356
hedonic 05 one 24 empty 3 50.000000 12.711864
hedonic 05 one 25 neutral 19 12.711864 84.745763
hedonic 05 one 26 neutral 20 19.491525 78.813559
hedonic 05 one 27 neutral 21 18.644068 82.203390
hedonic 05 one 28 neutral 22 27.118644 87.288136
hedonic 05 one 29 neutral 23 26.271186 82.203390
hedonic 05 one 30 neutral 24 14.406780 87.288136
hedonic 05 one 31 neutral 25 12.711864 77.118644
hedonic 05 one 32 neutral 26 12.711864 87.288136
hedonic 05 one 33 neutral 27 18.644068 76.271186
hedonic 05 one 34 neutral 28 40.677966 61.016949
hedonic 05 one 35 neutral 29 19.491525 87.288136
hedonic 05 one 36 neutral 30 41.525424 14.406780
hedonic 05 one 37 neutral 31 39.830508 19.491525
hedonic 05 one 38 neutral 32 39.830508 43.220339
hedonic 05 one 39 neutral 33 39.830508 22.033898
hedonic 06 one 1 empty 1 50.000000 27.118644
hedonic 06 one 2 empty 2 50.000000 33.898305
hedonic 06 one 3 empty 3 50.000000 33.898305
hedonic 06 one 4 neutral 1 59.322034 38.135593
hedonic 06 one 5 neutral 2 57.627119 38.983051
hedonic 06 one 6 neutral 3 57.627119 39.830508
hedonic 06 one 7 neutral 4 41.525424 60.169492
hedonic 06 one 8 neutral 5 36.440678 61.016949
hedonic 06 one 9 neutral 6 18.644068 69.491525
hedonic 06 one 10 neutral 7 55.932203 59.322034
hedonic 06 one 11 neutral 8 61.016949 63.559322
hedonic 06 one 12 neutral 9 62.711864 66.949153
hedonic 06 one 13 neutral 10 64.406780 43.220339
hedonic 06 one 14 neutral 11 65.254237 44.067797
hedonic 06 one 15 neutral 12 61.864407 45.762712
hedonic 06 one 16 neutral 13 31.355932 73.728814
hedonic 06 one 17 neutral 14 21.186441 83.050847
hedonic 06 one 18 neutral 15 17.796610 77.966102
hedonic 06 one 19 neutral 16 44.067797 45.762712
hedonic 06 one 20 neutral 17 43.220339 41.525424
hedonic 06 one 21 neutral 18 44.067797 50.000000
hedonic 06 one 22 neutral 19 71.186441 61.016949
hedonic 06 one 23 neutral 20 76.271186 67.796610
hedonic 06 one 24 neutral 21 80.508475 73.728814
hedonic 06 one 25 neutral 22 37.288136 60.169492
hedonic 06 one 26 neutral 23 39.830508 58.474576
hedonic 06 one 27 neutral 24 44.067797 66.949153
hedonic 06 one 28 neutral 25 50.000000 50.000000
hedonic 06 one 29 neutral 26 50.000000 50.000000
hedonic 06 one 30 neutral 27 50.000000 43.220339
hedonic 06 one 31 neutral 28 42.372881 75.423729
hedonic 06 one 32 neutral 29 39.830508 76.271186
hedonic 06 one 33 neutral 30 38.135593 78.813559
hedonic 06 one 34 chocolate 1 80.508475 69.491525
hedonic 06 one 35 chocolate 2 77.966102 74.576271
hedonic 06 one 36 chocolate 3 82.203390 75.423729
hedonic 06 one 37 neutral 31 45.762712 66.101695
hedonic 06 one 38 neutral 32 43.220339 67.796610
hedonic 06 one 39 neutral 33 43.220339 68.644068
hedonic 07 one 1 neutral 1 50.000000 50.000000
hedonic 07 one 2 neutral 2 50.000000 13.559322
hedonic 07 one 3 neutral 3 50.000000 31.355932
hedonic 07 one 4 empty 1 50.000000 24.576271
hedonic 07 one 5 empty 2 50.000000 12.711864
hedonic 07 one 6 empty 3 50.000000 12.711864
hedonic 07 one 7 neutral 4 56.779661 55.932203
hedonic 07 one 8 neutral 5 56.779661 33.050847
hedonic 07 one 9 neutral 6 67.796610 59.322034
hedonic 07 one 10 chocolate 1 62.711864 70.338983
hedonic 07 one 11 chocolate 2 66.101695 70.338983
hedonic 07 one 12 chocolate 3 60.169492 39.830508
hedonic 07 one 13 neutral 7 50.000000 12.711864
