task id session trial condition trialxcondition perceived_liking perceived_intensity
hedonic 02 two 39 neutral 15 45.762712 31.355932
hedonic 02 two 40 empty 13 50.000000 15.254237
hedonic 02 two 41 empty 14 50.000000 12.711864
hedonic 02 two 42 empty 15 50.000000 12.711864
hedonic 02 two 43 chocolate 13 85.593220 61.864407
hedonic 02 two 44 chocolate 14 78.813559 58.474576
hedonic 02 two 45 chocolate 15 62.711864 36.440678
hedonic 02 two 46 empty 16 56.779661 16.949153
hedonic 02 two 47 empty 17 50.000000 12.711864
hedonic 02 two 48 empty 18 50.000000 12.711864
hedonic 02 two 49 chocolate 16 62.711864 57.627119
hedonic 02 two 50 chocolate 17 64.406780 42.372881
hedonic 02 two 51 chocolate 18 55.932203 21.186441
hedonic 02 two 52 neutral 16 27.966102 74.576271
hedonic 02 two 53 neutral 17 44.067797 22.033898
hedonic 02 two 54 neutral 18 31.355932 50.000000
hedonic 03 two 1 neutral 1 50.000000 63.559322
hedonic 03 two 2 neutral 2 50.000000 63.559322
hedonic 03 two 3 neutral 3 42.372881 66.101695
hedonic 03 two 4 chocolate 1 62.711864 82.203390
hedonic 03 two 5 chocolate 2 65.254237 80.508475
hedonic 03 two 6 chocolate 3 61.864407 77.118644
hedonic 03 two 7 empty 1 50.000000 17.796610
hedonic 03 two 8 empty 2 50.000000 14.406780
hedonic 03 two 9 empty 3 50.000000 12.711864
hedonic 03 two 10 chocolate 4 73.728814 78.813559
hedonic 03 two 11 chocolate 5 70.338983 77.966102
hedonic 03 two 12 chocolate 6 70.338983 77.118644
hedonic 03 two 13 empty 4 50.000000 19.491525
hedonic 03 two 14 empty 5 50.000000 13.559322
hedonic 03 two 15 empty 6 50.000000 12.711864
hedonic 03 two 16 neutral 4 50.000000 15.254237
hedonic 03 two 17 neutral 5 50.000000 19.491525
hedonic 03 two 18 neutral 6 50.000000 18.644068
hedonic 03 two 19 empty 7 50.000000 14.406780
hedonic 03 two 20 empty 8 50.000000 12.711864
hedonic 03 two 21 empty 9 50.000000 12.711864
hedonic 03 two 22 neutral 7 50.000000 12.711864
hedonic 03 two 23 neutral 8 50.000000 27.966102
hedonic 03 two 24 neutral 9 50.000000 23.728814
hedonic 03 two 25 chocolate 7 63.559322 80.508475
hedonic 03 two 26 chocolate 8 73.728814 80.508475
hedonic 03 two 27 chocolate 9 69.491525 84.745763
hedonic 03 two 28 chocolate 10 64.406780 63.559322
hedonic 03 two 29 chocolate 11 61.016949 63.559322
hedonic 03 two 30 chocolate 12 64.406780 83.898305
hedonic 03 two 31 neutral 10 69.491525 61.864407
hedonic 03 two 32 neutral 11 55.932203 19.491525
hedonic 03 two 33 neutral 12 50.000000 14.406780
hedonic 03 two 34 empty 10 50.000000 12.711864
hedonic 03 two 35 empty 11 50.000000 12.711864
hedonic 03 two 36 empty 12 50.000000 12.711864
hedonic 03 two 37 neutral 13 50.000000 12.711864
hedonic 03 two 38 neutral 14 50.000000 12.711864
hedonic 03 two 39 neutral 15 50.000000 12.711864
hedonic 03 two 40 chocolate 13 56.779661 83.898305
hedonic 03 two 41 chocolate 14 62.711864 72.033898
hedonic 03 two 42 chocolate 15 55.932203 61.864407
hedonic 03 two 43 empty 13 50.000000 22.033898
hedonic 03 two 44 empty 14 50.000000 15.254237
hedonic 03 two 45 empty 15 50.000000 12.711864
hedonic 03 two 46 empty 16 50.000000 17.796610
hedonic 03 two 47 empty 17 50.000000 13.559322
hedonic 03 two 48 empty 18 50.000000 12.711864
hedonic 03 two 49 chocolate 16 50.000000 77.118644
hedonic 03 two 50 chocolate 17 46.610169 83.050847
hedonic 03 two 51 chocolate 18 44.915254 86.440678
hedonic 03 two 52 neutral 16 50.000000 50.000000
hedonic 03 two 53 neutral 17 50.000000 28.813559
hedonic 03 two 54 neutral 18 50.000000 18.644068
hedonic 04 two 1 neutral 1 33.898305 82.203390
hedonic 04 two 2 neutral 2 44.915254 16.949153
hedonic 04 two 3 neutral 3 43.220339 16.949153
hedonic 04 two 4 chocolate 1 80.508475 74.576271
hedonic 04 two 5 chocolate 2 76.271186 38.983051
hedonic 04 two 6 chocolate 3 63.559322 16.949153
hedonic 04 two 7 empty 1 50.000000 14.406780
hedonic 04 two 8 empty 2 50.000000 16.949153
hedonic 04 two 9 empty 3 50.000000 12.711864
hedonic 04 two 10 chocolate 4 55.932203 18.644068
hedonic 04 two 11 chocolate 5 62.711864 18.644068
hedonic 04 two 12 chocolate 6 50.000000 12.711864
hedonic 04 two 13 neutral 4 40.677966 61.864407
hedonic 04 two 14 neutral 5 50.000000 13.559322
hedonic 04 two 15 neutral 6 44.067797 16.949153
hedonic 04 two 16 empty 4 50.000000 12.711864
hedonic 04 two 17 empty 5 50.000000 12.711864
hedonic 04 two 18 empty 6 50.000000 12.711864
hedonic 04 two 19 chocolate 7 74.576271 61.016949
hedonic 04 two 20 chocolate 8 55.932203 54.237288
hedonic 04 two 21 chocolate 9 50.000000 12.711864
hedonic 04 two 22 empty 7 50.000000 14.406780
hedonic 04 two 23 empty 8 50.000000 12.711864
hedonic 04 two 24 empty 9 50.000000 12.711864
hedonic 04 two 25 neutral 7 45.762712 29.661017
hedonic 04 two 26 neutral 8 50.000000 14.406780
hedonic 04 two 27 neutral 9 46.610169 15.254237
hedonic 04 two 28 neutral 10 51.694915 13.559322
hedonic 04 two 29 neutral 11 50.000000 15.254237
hedonic 04 two 30 neutral 12 49.152542 16.949153
hedonic 04 two 31 empty 10 50.000000 12.711864
hedonic 04 two 32 empty 11 50.000000 12.711864
hedonic 04 two 33 empty 12 50.000000 12.711864
hedonic 04 two 34 chocolate 10 80.508475 72.033898
hedonic 04 two 35 chocolate 11 68.644068 56.779661
hedonic 04 two 36 chocolate 12 59.322034 16.101695
hedonic 04 two 37 neutral 13 39.830508 49.152542
hedonic 04 two 38 neutral 14 36.440678 16.949153
hedonic 04 two 39 neutral 15 50.000000 14.406780
hedonic 04 two 40 empty 13 50.000000 12.711864
hedonic 04 two 41 empty 14 50.000000 12.711864
hedonic 04 two 42 empty 15 50.000000 12.711864
hedonic 04 two 43 chocolate 13 54.237288 16.949153
hedonic 04 two 44 chocolate 14 71.186441 22.033898
hedonic 04 two 45 chocolate 15 59.322034 13.559322
hedonic 04 two 46 empty 16 50.000000 12.711864
hedonic 04 two 47 empty 17 50.000000 12.711864
hedonic 04 two 48 empty 18 50.000000 12.711864
hedonic 04 two 49 neutral 16 25.423729 76.271186
hedonic 04 two 50 neutral 17 40.677966 17.796610
hedonic 04 two 51 neutral 18 44.915254 14.406780
hedonic 04 two 52 chocolate 16 66.101695 19.491525
hedonic 04 two 53 chocolate 17 72.033898 35.593220
hedonic 04 two 54 chocolate 18 52.542373 13.559322
hedonic 05 two 1 chocolate 1 50.000000 12.711864
hedonic 05 two 2 chocolate 2 36.440678 12.711864
hedonic 05 two 3 chocolate 3 72.881356 37.288136
hedonic 05 two 4 neutral 1 21.186441 87.288136
hedonic 05 two 5 neutral 2 22.033898 38.135593
hedonic 05 two 6 neutral 3 50.000000 17.796610
hedonic 05 two 7 empty 1 50.000000 12.711864
hedonic 05 two 8 empty 2 50.000000 12.711864
hedonic 05 two 9 empty 3 63.559322 38.135593
hedonic 05 two 10 neutral 4 26.271186 71.186441
hedonic 05 two 11 neutral 5 36.440678 15.254237
hedonic 05 two 12 neutral 6 27.966102 77.966102
hedonic 05 two 13 empty 4 50.000000 12.711864
hedonic 05 two 14 empty 5 50.000000 12.711864
hedonic 05 two 15 empty 6 50.000000 12.711864
hedonic 05 two 16 chocolate 4 75.423729 61.864407
hedonic 05 two 17 chocolate 5 61.016949 37.288136
hedonic 05 two 18 chocolate 6 68.644068 38.135593
hedonic 05 two 19 neutral 7 25.423729 81.355932
hedonic 05 two 20 neutral 8 37.288136 20.338983
hedonic 05 two 21 neutral 9 23.728814 21.186441
hedonic 05 two 22 chocolate 7 72.881356 63.559322
hedonic 05 two 23 chocolate 8 50.000000 12.711864
hedonic 05 two 24 chocolate 9 62.711864 25.423729
hedonic 05 two 25 empty 7 60.169492 19.491525
hedonic 05 two 26 empty 8 50.000000 12.711864
hedonic 05 two 27 empty 9 50.000000 12.711864
hedonic 05 two 28 neutral 10 36.440678 38.983051
hedonic 05 two 29 neutral 11 37.288136 21.186441
hedonic 05 two 30 neutral 12 50.000000 12.711864
hedonic 05 two 31 chocolate 10 67.796610 51.694915
hedonic 05 two 32 chocolate 11 60.169492 37.288136
hedonic 05 two 33 chocolate 12 50.000000 12.711864
hedonic 05 two 34 empty 10 50.000000 12.711864
hedonic 05 two 35 empty 11 50.000000 12.711864
hedonic 05 two 36 empty 12 50.000000 12.711864
hedonic 05 two 37 neutral 13 16.101695 81.355932
hedonic 05 two 38 neutral 14 37.288136 22.881356
hedonic 05 two 39 neutral 15 50.000000 12.711864
hedonic 05 two 40 empty 13 50.000000 12.711864
hedonic 05 two 41 empty 14 50.000000 12.711864
hedonic 05 two 42 empty 15 50.000000 12.711864
hedonic 05 two 43 chocolate 13 61.016949 76.271186
hedonic 05 two 44 chocolate 14 61.016949 30.508475
hedonic 05 two 45 chocolate 15 60.169492 20.338983
hedonic 05 two 46 empty 16 50.000000 12.711864
hedonic 05 two 47 empty 17 50.000000 12.711864
hedonic 05 two 48 empty 18 50.000000 12.711864
hedonic 05 two 49 chocolate 16 61.864407 25.423729
hedonic 05 two 50 chocolate 17 50.000000 12.711864
hedonic 05 two 51 chocolate 18 61.016949 14.406780
hedonic 05 two 52 neutral 16 20.338983 70.338983
hedonic 05 two 53 neutral 17 31.355932 60.169492
hedonic 05 two 54 neutral 18 50.000000 12.711864
hedonic 06 two 1 neutral 1 44.915254 71.186441
hedonic 06 two 2 neutral 2 55.084746 68.644068
hedonic 06 two 3 neutral 3 58.474576 68.644068
hedonic 06 two 4 empty 1 72.881356 67.796610
hedonic 06 two 5 empty 2 59.322034 58.474576
hedonic 06 two 6 empty 3 57.627119 63.559322
hedonic 06 two 7 chocolate 1 66.949153 65.254237
hedonic 06 two 8 chocolate 2 70.338983 70.338983
hedonic 06 two 9 chocolate 3 58.474576 62.711864
hedonic 06 two 10 neutral 4 50.000000 63.559322
hedonic 06 two 11 neutral 5 59.322034 69.491525
hedonic 06 two 12 neutral 6 50.000000 51.694915
hedonic 06 two 13 empty 4 50.000000 50.000000
hedonic 06 two 14 empty 5 50.000000 50.000000
hedonic 06 two 15 empty 6 50.000000 50.000000
hedonic 06 two 16 chocolate 4 73.728814 75.423729
hedonic 06 two 17 chocolate 5 71.186441 72.881356
hedonic 06 two 18 chocolate 6 75.423729 72.881356
hedonic 06 two 19 empty 7 50.000000 50.000000
hedonic 06 two 20 empty 8 50.000000 50.000000
hedonic 06 two 21 empty 9 50.000000 50.000000
hedonic 06 two 22 chocolate 7 69.491525 70.338983
hedonic 06 two 23 chocolate 8 77.118644 66.101695
hedonic 06 two 24 chocolate 9 78.813559 66.101695
hedonic 06 two 25 neutral 7 58.474576 72.033898
hedonic 06 two 26 neutral 8 49.152542 72.881356
hedonic 06 two 27 neutral 9 55.084746 74.576271
hedonic 06 two 28 empty 10 50.000000 50.000000
hedonic 06 two 29 empty 11 50.000000 50.000000
hedonic 06 two 30 empty 12 50.000000 50.000000
hedonic 06 two 31 chocolate 10 76.271186 62.711864
hedonic 06 two 32 chocolate 11 75.423729 61.864407
hedonic 06 two 33 chocolate 12 77.118644 61.864407
hedonic 06 two 34 neutral 10 56.779661 80.508475
hedonic 06 two 35 neutral 11 55.932203 69.491525
hedonic 06 two 36 neutral 12 57.627119 69.491525
hedonic 06 two 37 neutral 13 50.000000 50.000000
hedonic 06 two 38 neutral 14 50.000000 54.237288
hedonic 06 two 39 neutral 15 50.000000 55.932203
hedonic 06 two 40 empty 13 50.000000 50.000000
hedonic 06 two 41 empty 14 50.000000 50.000000
hedonic 06 two 42 empty 15 50.000000 50.000000
hedonic 06 two 43 chocolate 13 78.813559 56.779661
hedonic 06 two 44 chocolate 14 85.593220 66.101695
hedonic 06 two 45 chocolate 15 87.288136 61.864407
hedonic 06 two 46 neutral 16 48.305085 77.966102
hedonic 06 two 47 neutral 17 52.542373 79.661017
hedonic 06 two 48 neutral 18 50.000000 56.779661
hedonic 06 two 49 chocolate 16 83.050847 62.711864
hedonic 06 two 50 chocolate 17 84.745763 68.644068
hedonic 06 two 51 chocolate 18 77.118644 66.101695
hedonic 06 two 52 empty 16 50.000000 50.000000
hedonic 06 two 53 empty 17 50.000000 50.000000
hedonic 06 two 54 empty 18 50.000000 50.000000
hedonic 07 two 1 chocolate 1 71.186441 71.186441
hedonic 07 two 2 chocolate 2 66.101695 48.305085
hedonic 07 two 3 chocolate 3 66.101695 41.525424
hedonic 07 two 4 empty 1 50.000000 13.559322
hedonic 07 two 5 empty 2 48.305085 29.661017
hedonic 07 two 6 empty 3 50.000000 12.711864
hedonic 07 two 7 neutral 1 59.322034 62.711864
hedonic 07 two 8 neutral 2 59.322034 32.203390
hedonic 07 two 9 neutral 3 59.322034 17.796610
hedonic 07 two 10 empty 4 50.000000 12.711864
hedonic 07 two 11 empty 5 50.000000 12.711864
hedonic 07 two 12 empty 6 50.000000 12.711864
hedonic 07 two 13 neutral 4 50.000000 16.101695
hedonic 07 two 14 neutral 5 58.474576 21.186441
hedonic 07 two 15 neutral 6 50.000000 12.711864
hedonic 07 two 16 chocolate 4 66.949153 60.169492
hedonic 07 two 17 chocolate 5 50.000000 12.711864
hedonic 07 two 18 chocolate 6 65.254237 34.745763
hedonic 07 two 19 chocolate 7 65.254237 34.745763
hedonic 07 two 20 chocolate 8 65.254237 22.033898
hedonic 07 two 21 chocolate 9 55.084746 20.338983
hedonic 07 two 22 empty 7 50.000000 12.711864
hedonic 07 two 23 empty 8 50.000000 12.711864
hedonic 07 two 24 empty 9 50.000000 12.711864
hedonic 07 two 25 neutral 7 58.474576 33.898305
hedonic 07 two 26 neutral 8 50.000000 12.711864
hedonic 07 two 27 neutral 9 57.627119 16.101695
hedonic 07 two 28 chocolate 10 72.033898 32.203390
hedonic 07 two 29 chocolate 11 58.474576 27.118644
hedonic 07 two 30 chocolate 12 50.000000 12.711864
hedonic 07 two 31 neutral 10 60.169492 15.254237
hedonic 07 two 32 neutral 11 50.000000 12.711864
hedonic 07 two 33 neutral 12 50.000000 12.711864
hedonic 07 two 34 empty 10 50.000000 12.711864
hedonic 07 two 35 empty 11 50.000000 12.711864
hedonic 07 two 36 empty 12 50.000000 12.711864
hedonic 07 two 37 neutral 13 58.474576 40.677966
hedonic 07 two 38 neutral 14 59.322034 39.830508
hedonic 07 two 39 neutral 15 50.000000 12.711864
hedonic 07 two 40 empty 13 50.000000 12.711864
hedonic 07 two 41 empty 14 50.000000 12.711864
hedonic 07 two 42 empty 15 50.000000 12.711864
hedonic 07 two 43 chocolate 13 63.559322 55.932203
hedonic 07 two 44 chocolate 14 56.779661 56.779661
hedonic 07 two 45 chocolate 15 56.779661 31.355932
hedonic 07 two 46 neutral 16 57.627119 26.271186
hedonic 07 two 47 neutral 17 50.000000 12.711864
hedonic 07 two 48 neutral 18 50.000000 12.711864
hedonic 07 two 49 chocolate 16 68.644068 60.169492
hedonic 07 two 50 chocolate 17 60.169492 56.779661
hedonic 07 two 51 chocolate 18 50.000000 12.711864
hedonic 07 two 52 empty 16 50.000000 12.711864
hedonic 07 two 53 empty 17 50.000000 12.711864
hedonic 07 two 54 empty 18 50.000000 12.711864
hedonic 09 two 1 empty 1 69.491525 60.169492
hedonic 09 two 2 empty 2 50.000000 12.711864
hedonic 09 two 3 empty 3 50.000000 12.711864
hedonic 09 two 4 neutral 1 36.440678 22.033898
hedonic 09 two 5 neutral 2 38.983051 40.677966
hedonic 09 two 6 neutral 3 50.000000 12.711864
hedonic 09 two 7 chocolate 1 87.288136 63.559322
hedonic 09 two 8 chocolate 2 61.864407 44.915254
hedonic 09 two 9 chocolate 3 57.627119 26.271186
hedonic 09 two 10 empty 4 55.084746 30.508475
hedonic 09 two 11 empty 5 50.000000 12.711864
hedonic 09 two 12 empty 6 50.000000 12.711864
hedonic 09 two 13 neutral 4 55.084746 22.033898
hedonic 09 two 14 neutral 5 39.830508 16.101695
hedonic 09 two 15 neutral 6 50.000000 12.711864
hedonic 09 two 16 chocolate 4 87.288136 73.728814
hedonic 09 two 17 chocolate 5 59.322034 21.186441
hedonic 09 two 18 chocolate 6 35.593220 17.796610
hedonic 09 two 19 empty 7 55.932203 20.338983
hedonic 09 two 20 empty 8 50.000000 12.711864
hedonic 09 two 21 empty 9 35.593220 18.644068
hedonic 09 two 22 neutral 7 57.627119 24.576271
hedonic 09 two 23 neutral 8 50.000000 12.711864
hedonic 09 two 24 neutral 9 50.000000 16.101695
hedonic 09 two 25 chocolate 7 78.813559 78.813559
hedonic 09 two 26 chocolate 8 62.711864 57.627119
hedonic 09 two 27 chocolate 9 57.627119 58.474576
hedonic 09 two 28 empty 10 56.779661 59.322034
hedonic 09 two 29 empty 11 38.983051 16.101695
hedonic 09 two 30 empty 12 50.000000 12.711864
hedonic 09 two 31 chocolate 10 50.000000 58.474576
hedonic 09 two 32 chocolate 11 58.474576 16.101695
hedonic 09 two 33 chocolate 12 38.983051 12.711864
hedonic 09 two 34 neutral 10 50.000000 12.711864
hedonic 09 two 35 neutral 11 50.000000 12.711864
hedonic 09 two 36 neutral 12 50.000000 12.711864
hedonic 09 two 37 chocolate 13 55.932203 65.254237
hedonic 09 two 38 chocolate 14 77.118644 67.796610
hedonic 09 two 39 chocolate 15 69.491525 67.796610
hedonic 09 two 40 empty 13 45.762712 20.338983
hedonic 09 two 41 empty 14 50.000000 12.711864
hedonic 09 two 42 empty 15 50.000000 12.711864
hedonic 09 two 43 neutral 13 50.000000 12.711864
hedonic 09 two 44 neutral 14 42.372881 22.881356
hedonic 09 two 45 neutral 15 43.220339 21.186441
hedonic 09 two 46 neutral 16 44.067797 12.711864
hedonic 09 two 47 neutral 17 50.000000 12.711864
hedonic 09 two 48 neutral 18 46.610169 50.000000
hedonic 09 two 49 chocolate 16 83.050847 68.644068
hedonic 09 two 50 chocolate 17 50.000000 12.711864
hedonic 09 two 51 chocolate 18 85.593220 81.355932
hedonic 09 two 52 empty 16 48.305085 12.711864
hedonic 09 two 53 empty 17 50.000000 75.423729
hedonic 09 two 54 empty 18 50.000000 12.711864
hedonic 10 two 1 empty 1 66.101695 59.322034
hedonic 10 two 2 empty 2 57.627119 41.525424
hedonic 10 two 3 empty 3 50.000000 29.661017
hedonic 10 two 4 neutral 1 29.661017 69.491525
hedonic 10 two 5 neutral 2 33.898305 59.322034
hedonic 10 two 6 neutral 3 50.000000 40.677966
hedonic 10 two 7 chocolate 1 76.271186 67.796610
hedonic 10 two 8 chocolate 2 77.118644 66.101695
hedonic 10 two 9 chocolate 3 80.508475 64.406780
hedonic 10 two 10 empty 4 50.000000 26.271186
hedonic 10 two 11 empty 5 50.000000 12.711864
hedonic 10 two 12 empty 6 50.000000 12.711864
hedonic 10 two 13 chocolate 4 66.949153 60.169492
hedonic 10 two 14 chocolate 5 68.644068 61.016949
hedonic 10 two 15 chocolate 6 64.406780 58.474576
hedonic 10 two 16 neutral 4 39.830508 61.864407
hedonic 10 two 17 neutral 5 50.000000 57.627119
hedonic 10 two 18 neutral 6 57.627119 32.203390
hedonic 10 two 19 empty 7 50.000000 12.711864
hedonic 10 two 20 empty 8 50.000000 12.711864
hedonic 10 two 21 empty 9 50.000000 12.711864
hedonic 10 two 22 chocolate 7 72.881356 66.949153
hedonic 10 two 23 chocolate 8 68.644068 63.559322
hedonic 10 two 24 chocolate 9 67.796610 58.474576
hedonic 10 two 25 neutral 7 57.627119 56.779661
hedonic 10 two 26 neutral 8 57.627119 50.000000
hedonic 10 two 27 neutral 9 57.627119 56.779661
hedonic 10 two 28 empty 10 50.000000 12.711864
hedonic 10 two 29 empty 11 50.000000 12.711864
hedonic 10 two 30 empty 12 50.000000 12.711864
hedonic 10 two 31 chocolate 10 73.728814 66.101695
hedonic 10 two 32 chocolate 11 73.728814 58.474576
hedonic 10 two 33 chocolate 12 67.796610 55.932203
hedonic 10 two 34 neutral 10 57.627119 58.474576
hedonic 10 two 35 neutral 11 57.627119 50.000000
hedonic 10 two 36 neutral 12 38.135593 57.627119
hedonic 10 two 37 chocolate 13 74.576271 60.169492
hedonic 10 two 38 chocolate 14 75.423729 66.101695
hedonic 10 two 39 chocolate 15 57.627119 22.881356
hedonic 10 two 40 empty 13 50.000000 12.711864
hedonic 10 two 41 empty 14 50.000000 12.711864
hedonic 10 two 42 empty 15 50.000000 12.711864
hedonic 10 two 43 neutral 13 40.677966 57.627119
hedonic 10 two 44 neutral 14 45.762712 55.932203
hedonic 10 two 45 neutral 15 43.220339 56.779661
hedonic 10 two 46 chocolate 16 79.661017 69.491525
hedonic 10 two 47 chocolate 17 73.728814 64.406780
hedonic 10 two 48 chocolate 18 79.661017 66.949153
hedonic 10 two 49 neutral 16 42.372881 56.779661
hedonic 10 two 50 neutral 17 56.779661 55.084746
hedonic 10 two 51 neutral 18 50.000000 55.932203
hedonic 10 two 52 empty 16 50.000000 12.711864
hedonic 10 two 53 empty 17 50.000000 12.711864
hedonic 10 two 54 empty 18 50.000000 12.711864
hedonic 11 two 1 neutral 1 67.796610 76.271186
hedonic 11 two 2 neutral 2 65.254237 66.949153
hedonic 11 two 3 neutral 3 66.949153 68.644068
hedonic 11 two 4 empty 1 55.932203 31.355932
hedonic 11 two 5 empty 2 50.000000 19.491525
hedonic 11 two 6 empty 3 50.000000 12.711864
hedonic 11 two 7 chocolate 1 74.576271 68.644068
hedonic 11 two 8 chocolate 2 73.728814 61.864407
hedonic 11 two 9 chocolate 3 71.186441 67.796610
hedonic 11 two 10 chocolate 4 64.406780 57.627119
hedonic 11 two 11 chocolate 5 70.338983 55.084746
hedonic 11 two 12 chocolate 6 56.779661 42.372881
hedonic 11 two 13 empty 4 53.389831 26.271186
hedonic 11 two 14 empty 5 50.000000 22.881356
hedonic 11 two 15 empty 6 50.000000 12.711864
hedonic 11 two 16 neutral 4 66.101695 62.711864
hedonic 11 two 17 neutral 5 66.949153 66.101695
hedonic 11 two 18 neutral 6 65.254237 62.711864
hedonic 11 two 19 neutral 7 60.169492 55.084746
hedonic 11 two 20 neutral 8 65.254237 55.084746
hedonic 11 two 21 neutral 9 61.016949 54.237288
hedonic 11 two 22 empty 7 52.542373 25.423729
hedonic 11 two 23 empty 8 50.000000 12.711864
hedonic 11 two 24 empty 9 50.000000 12.711864
hedonic 11 two 25 chocolate 7 78.813559 85.593220
hedonic 11 two 26 chocolate 8 76.271186 77.118644
hedonic 11 two 27 chocolate 9 77.118644 55.084746
hedonic 11 two 28 chocolate 10 72.033898 54.237288
hedonic 11 two 29 chocolate 11 70.338983 55.084746
hedonic 11 two 30 chocolate 12 73.728814 50.000000
