task id session trial condition trialxcondition n_grips reward
PIT 03 two 43 CSminus 10 3 0
PIT 03 two 44 CSminus 11 4 0
PIT 03 two 45 CSminus 12 3 0
PIT 03 two 46 CSminus 13 3 0
PIT 03 two 47 CSminus 14 6 0
PIT 03 two 48 CSminus 15 6 0
PIT 03 two 49 CSplus 13 3 0
PIT 03 two 50 CSplus 14 3 0
PIT 03 two 51 CSplus 15 4 0
PIT 03 two 52 Baseline 13 2 0
PIT 03 two 53 Baseline 14 0 0
PIT 03 two 54 Baseline 15 0 0
Reminder 04 two 1 None 1 15 2
Reminder 04 two 2 None 2 17 2
Reminder 04 two 3 None 3 17 2
Partial_Extinction 04 two 4 None 4 21 1
Partial_Extinction 04 two 5 None 5 19 1
Partial_Extinction 04 two 6 None 6 21 1
Partial_Extinction 04 two 7 None 7 22 1
Partial_Extinction 04 two 8 None 8 24 1
Partial_Extinction 04 two 9 None 9 26 1
PIT 04 two 10 Baseline 1 27 0
PIT 04 two 11 Baseline 2 26 0
PIT 04 two 12 Baseline 3 25 0
PIT 04 two 13 CSminus 1 26 0
PIT 04 two 14 CSminus 2 26 0
PIT 04 two 15 CSminus 3 26 0
PIT 04 two 16 CSplus 1 26 0
PIT 04 two 17 CSplus 2 29 0
PIT 04 two 18 CSplus 3 27 0
PIT 04 two 19 Baseline 4 27 0
PIT 04 two 20 Baseline 5 27 0
PIT 04 two 21 Baseline 6 27 0
PIT 04 two 22 CSplus 4 28 0
PIT 04 two 23 CSplus 5 27 0
PIT 04 two 24 CSplus 6 27 0
PIT 04 two 25 CSminus 4 27 0
PIT 04 two 26 CSminus 5 28 0
PIT 04 two 27 CSminus 6 28 0
PIT 04 two 28 CSminus 7 29 0
PIT 04 two 29 CSminus 8 28 0
PIT 04 two 30 CSminus 9 29 0
PIT 04 two 31 Baseline 7 28 0
PIT 04 two 32 Baseline 8 26 0
PIT 04 two 33 Baseline 9 26 0
PIT 04 two 34 CSplus 7 28 0
PIT 04 two 35 CSplus 8 28 0
PIT 04 two 36 CSplus 9 15 0
PIT 04 two 37 Baseline 10 24 0
PIT 04 two 38 Baseline 11 29 0
PIT 04 two 39 Baseline 12 26 0
PIT 04 two 40 CSplus 10 18 0
PIT 04 two 41 CSplus 11 29 0
PIT 04 two 42 CSplus 12 31 0
PIT 04 two 43 CSminus 10 32 0
PIT 04 two 44 CSminus 11 31 0
PIT 04 two 45 CSminus 12 29 0
PIT 04 two 46 CSminus 13 29 0
PIT 04 two 47 CSminus 14 31 0
PIT 04 two 48 CSminus 15 25 0
PIT 04 two 49 CSplus 13 31 0
PIT 04 two 50 CSplus 14 32 0
