task id session trial condition trialxcondition RT accuracy liking_ratings rounds
pavlovian_learning 02 one 89 CSminus 44 0.336755 1 39.830508 2
pavlovian_learning 02 one 90 CSminus 45 0.290942 1 39.830508 3
pavlovian_learning 02 one 91 CSplus 46 0.456266 1 66.949153 1
pavlovian_learning 02 one 92 CSplus 47 0.284384 1 66.949153 2
pavlovian_learning 02 one 93 CSplus 48 0.294597 1 66.949153 3
pavlovian_learning 02 one 94 CSminus 46 0.284890 1 39.830508 1
pavlovian_learning 02 one 95 CSminus 47 0.288703 1 39.830508 2
pavlovian_learning 02 one 96 CSminus 48 0.305775 1 39.830508 3
pavlovian_learning 02 one 97 CSplus 49 0.287465 1 66.949153 1
pavlovian_learning 02 one 98 CSplus 50 0.297260 1 66.949153 2
pavlovian_learning 02 one 99 CSplus 51 0.267842 1 66.949153 3
pavlovian_learning 02 one 100 CSminus 49 0.337200 1 39.830508 1
pavlovian_learning 02 one 101 CSminus 50 0.352941 1 39.830508 2
pavlovian_learning 02 one 102 CSminus 51 0.360042 1 39.830508 3
pavlovian_learning 02 one 103 CSplus 52 0.320945 1 66.949153 1
pavlovian_learning 02 one 104 CSplus 53 0.281319 1 66.949153 2
pavlovian_learning 02 one 105 CSplus 54 0.287494 1 66.949153 3
pavlovian_learning 02 one 106 CSminus 52 0.320253 1 39.830508 1
pavlovian_learning 02 one 107 CSminus 53 0.310751 1 39.830508 2
pavlovian_learning 02 one 108 CSminus 54 0.292230 1 39.830508 3
pavlovian_learning 02 one 109 Baseline 0 NaN NaN 50.000000 NaN
pavlovian_learning 03 one 1 CSplus 1 0.444732 1 36.440678 1
pavlovian_learning 03 one 2 CSplus 2 0.384347 1 36.440678 2
pavlovian_learning 03 one 3 CSplus 3 0.306606 1 36.440678 3
pavlovian_learning 03 one 4 CSminus 1 0.341503 1 50.000000 1
pavlovian_learning 03 one 5 CSminus 2 0.504518 1 50.000000 2
pavlovian_learning 03 one 6 CSminus 3 0.434055 1 50.000000 3
pavlovian_learning 03 one 7 CSplus 4 0.394351 1 36.440678 1
pavlovian_learning 03 one 8 CSplus 5 0.338954 1 36.440678 2
pavlovian_learning 03 one 9 CSplus 6 0.351317 1 36.440678 3
pavlovian_learning 03 one 10 CSminus 4 0.293815 1 50.000000 1
pavlovian_learning 03 one 11 CSminus 5 0.315275 1 50.000000 2
pavlovian_learning 03 one 12 CSminus 6 0.288572 1 50.000000 3
pavlovian_learning 03 one 13 CSplus 7 0.317622 1 36.440678 1
pavlovian_learning 03 one 14 CSplus 8 0.301639 1 36.440678 2
pavlovian_learning 03 one 15 CSplus 9 0.287499 1 36.440678 3
pavlovian_learning 03 one 16 CSminus 7 0.314017 1 50.000000 1
pavlovian_learning 03 one 17 CSminus 8 0.340753 1 50.000000 2
pavlovian_learning 03 one 18 CSminus 9 0.310679 1 50.000000 3
pavlovian_learning 03 one 19 CSplus 10 0.312635 1 36.440678 1
pavlovian_learning 03 one 20 CSplus 11 0.481698 1 36.440678 2
pavlovian_learning 03 one 21 CSplus 12 0.404717 1 36.440678 3
pavlovian_learning 03 one 22 CSminus 10 0.320210 1 50.000000 1
pavlovian_learning 03 one 23 CSminus 11 0.359924 1 50.000000 2
pavlovian_learning 03 one 24 CSminus 12 0.313534 1 50.000000 3
pavlovian_learning 03 one 25 CSplus 13 0.385265 1 36.440678 1
pavlovian_learning 03 one 26 CSplus 14 0.318432 1 36.440678 2
pavlovian_learning 03 one 27 CSplus 15 0.329512 1 36.440678 3
pavlovian_learning 03 one 28 CSminus 13 0.346791 1 50.000000 1
pavlovian_learning 03 one 29 CSminus 14 0.316105 1 50.000000 2
pavlovian_learning 03 one 30 CSminus 15 0.276814 1 50.000000 3
pavlovian_learning 03 one 31 CSplus 16 0.569873 1 36.440678 1
pavlovian_learning 03 one 32 CSplus 17 0.334186 1 36.440678 2
pavlovian_learning 03 one 33 CSplus 18 0.343467 1 36.440678 3
pavlovian_learning 03 one 34 CSminus 16 0.306559 1 50.000000 1
pavlovian_learning 03 one 35 CSminus 17 0.321097 1 50.000000 2
pavlovian_learning 03 one 36 CSminus 18 0.277633 1 50.000000 3
pavlovian_learning 03 one 37 CSplus 19 0.315631 1 36.440678 1
pavlovian_learning 03 one 38 CSplus 20 0.402394 1 36.440678 2
pavlovian_learning 03 one 39 CSplus 21 0.272291 1 36.440678 3
pavlovian_learning 03 one 40 CSminus 19 0.296533 1 50.000000 1
