Subject	Word	POA	Voicing	VOT
s3	pull	bilabial	voiceless	0.08
s3	bull	bilabial	voiced	0.0109
s3	bull	bilabial	voiced	0.0139
s3	cane	velar	voiceless	0.0771
s3	cob	velar	voiceless	0.0862
s3	cob	velar	voiceless	0.0908
s3	gob	velar	voiced	0.0189
s3	cob	velar	voiceless	0.0639
s3	gob	velar	voiced	0.0203
s3	pad	bilabial	voiceless	0.0436
s3	pad	bilabial	voiceless	0.0436
s3	bad	bilabial	voiced	0.0107
s3	bad	bilabial	voiced	0.0077
s3	pest	bilabial	voiceless	0.0311
s3	best	bilabial	voiced	0.0122
s3	best	bilabial	voiced	0.0098
s3	tech	alveolar	voiceless	0.0689
s3	cod	velar	voiceless	0.0787
s3	cod	velar	voiceless	0.0681
s3	god	velar	voiced	0.0176
s3	god	velar	voiced	0.0186
s3	pat	bilabial	voiceless	0.0371
s3	bat	bilabial	voiced	0.0116
s3	belt	bilabial	voiced	0.0148
s3	gash	velar	voiced	0.0309
s3	dead	alveolar	voiced	0.0291
s3	ted	alveolar	voiceless	0.0723
s3	buck	bilabial	voiced	0.0156
s3	buck	bilabial	voiced	0.008
s4	puck	bilabial	voiceless	0.0475
s4	puck	bilabial	voiceless	0.0393
s4	puck	bilabial	voiceless	0.0394
s4	buck	bilabial	voiced	0.0135
s4	buck	bilabial	voiced	0.0112
s4	cab	velar	voiceless	0.0685
s4	pack	bilabial	voiceless	0.0397
s4	back	bilabial	voiced	0.0084
s4	back	bilabial	voiced	0.0105
s4	deck	alveolar	voiced	0.0464
s4	deck	alveolar	voiced	0.043
s4	tech	alveolar	voiceless	0.0172
s4	tech	alveolar	voiceless	0.0138
s4	god	velar	voiced	0.0236
s4	gus	velar	voiced	0.052
s4	but	bilabial	voiced	0.0155
s4	pill	bilabial	voiceless	0.0833
s4	pill	bilabial	voiceless	0.0184
s4	bill	bilabial	voiced	0.0133
s4	bill	bilabial	voiced	0.0137
s4	cane	velar	voiceless	0.0491
s4	gain	velar	voiced	0.0184
s4	best	bilabial	voiced	0.0105
s4	best	bilabial	voiced	0.0105
s4	best	bilabial	voiced	0.0129
s4	best	bilabial	voiced	0.0103
s4	pounce	bilabial	voiceless	0.0359
s4	bounce	bilabial	voiced	0.0172
s4	pus	bilabial	voiceless	0.0462
s4	bus	bilabial	voiced	0.013
s4	bus	bilabial	voiced	0.0106
s4	pull	bilabial	voiceless	0.0813
s4	bull	bilabial	voiced	0.0171
s4	bull	bilabial	voiced	0.0197
s4	bull	bilabial	voiced	0.0191
s4	bull	bilabial	voiced	0.0182
s4	touch	alveolar	voiceless	0.0286
s4	touch	alveolar	voiceless	0.0255
s4	dutch	alveolar	voiced	0.0082
s4	pang	bilabial	voiceless	0.0281
s4	pang	bilabial	voiceless	0.0401
s4	pang	bilabial	voiceless	0.0622
