Subject	Background	Probability	Style	Correct
13	Non-Native	Low	Plain	0
13	Non-Native	Low	Plain	0
13	Non-Native	Low	Plain	0
13	Non-Native	Low	Plain	0
13	Non-Native	Low	Plain	0
13	Non-Native	Low	Plain	0
13	Non-Native	Low	Plain	0
13	Non-Native	Low	Plain	0
14	Non-Native	Low	Plain	1
14	Non-Native	Low	Plain	1
14	Non-Native	Low	Plain	1
14	Non-Native	Low	Plain	0
14	Non-Native	Low	Plain	0
14	Non-Native	Low	Plain	0
14	Non-Native	Low	Plain	0
14	Non-Native	Low	Plain	0
14	Non-Native	Low	Plain	0
14	Non-Native	Low	Plain	0
14	Non-Native	Low	Plain	0
14	Non-Native	Low	Plain	0
14	Non-Native	Low	Plain	0
14	Non-Native	Low	Plain	0
14	Non-Native	Low	Plain	0
15	Non-Native	Low	Plain	1
15	Non-Native	Low	Plain	1
15	Non-Native	Low	Plain	1
15	Non-Native	Low	Plain	1
15	Non-Native	Low	Plain	0
15	Non-Native	Low	Plain	0
15	Non-Native	Low	Plain	0
15	Non-Native	Low	Plain	0
15	Non-Native	Low	Plain	0
15	Non-Native	Low	Plain	0
15	Non-Native	Low	Plain	0
15	Non-Native	Low	Plain	0
15	Non-Native	Low	Plain	0
15	Non-Native	Low	Plain	0
15	Non-Native	Low	Plain	0
16	Non-Native	Low	Plain	1
16	Non-Native	Low	Plain	1
16	Non-Native	Low	Plain	1
16	Non-Native	Low	Plain	1
16	Non-Native	Low	Plain	1
16	Non-Native	Low	Plain	1
16	Non-Native	Low	Plain	1
16	Non-Native	Low	Plain	1
16	Non-Native	Low	Plain	0
16	Non-Native	Low	Plain	0
16	Non-Native	Low	Plain	0
16	Non-Native	Low	Plain	0
16	Non-Native	Low	Plain	0
16	Non-Native	Low	Plain	0
16	Non-Native	Low	Plain	0
17	Non-Native	Low	Plain	1
17	Non-Native	Low	Plain	1
17	Non-Native	Low	Plain	1
17	Non-Native	Low	Plain	1
17	Non-Native	Low	Plain	1
17	Non-Native	Low	Plain	1
17	Non-Native	Low	Plain	1
17	Non-Native	Low	Plain	1
17	Non-Native	Low	Plain	1
17	Non-Native	Low	Plain	0
17	Non-Native	Low	Plain	0
17	Non-Native	Low	Plain	0
17	Non-Native	Low	Plain	0
17	Non-Native	Low	Plain	0
17	Non-Native	Low	Plain	0
18	Non-Native	Low	Plain	1
18	Non-Native	Low	Plain	1
18	Non-Native	Low	Plain	1
18	Non-Native	Low	Plain	1
18	Non-Native	Low	Plain	1
18	Non-Native	Low	Plain	1
18	Non-Native	Low	Plain	1
18	Non-Native	Low	Plain	1
18	Non-Native	Low	Plain	1
18	Non-Native	Low	Plain	1
18	Non-Native	Low	Plain	0
18	Non-Native	Low	Plain	0
18	Non-Native	Low	Plain	0
18	Non-Native	Low	Plain	0
18	Non-Native	Low	Plain	0
19	Non-Native	Low	Plain	1
19	Non-Native	Low	Plain	1
19	Non-Native	Low	Plain	1
19	Non-Native	Low	Plain	1
19	Non-Native	Low	Plain	1
19	Non-Native	Low	Plain	1
19	Non-Native	Low	Plain	1
19	Non-Native	Low	Plain	1
19	Non-Native	Low	Plain	1
19	Non-Native	Low	Plain	1
19	Non-Native	Low	Plain	0
19	Non-Native	Low	Plain	0
19	Non-Native	Low	Plain	0
19	Non-Native	Low	Plain	0
19	Non-Native	Low	Plain	0
20	Non-Native	Low	Plain	1
20	Non-Native	Low	Plain	1
20	Non-Native	Low	Plain	1
20	Non-Native	Low	Plain	1
20	Non-Native	Low	Plain	1
20	Non-Native	Low	Plain	1
20	Non-Native	Low	Plain	1
20	Non-Native	Low	Plain	0
20	Non-Native	Low	Plain	0
20	Non-Native	Low	Plain	0
20	Non-Native	Low	Plain	0
20	Non-Native	Low	Plain	0
20	Non-Native	Low	Plain	0
20	Non-Native	Low	Plain	0
20	Non-Native	Low	Plain	0
21	Non-Native	Low	Plain	1
21	Non-Native	Low	Plain	1
21	Non-Native	Low	Plain	1
21	Non-Native	Low	Plain	1
21	Non-Native	Low	Plain	1
21	Non-Native	Low	Plain	1
21	Non-Native	Low	Plain	1
21	Non-Native	Low	Plain	0
21	Non-Native	Low	Plain	0
21	Non-Native	Low	Plain	0
21	Non-Native	Low	Plain	0
21	Non-Native	Low	Plain	0
21	Non-Native	Low	Plain	0
21	Non-Native	Low	Plain	0
21	Non-Native	Low	Plain	0
22	Non-Native	Low	Plain	1
22	Non-Native	Low	Plain	1
22	Non-Native	Low	Plain	1
22	Non-Native	Low	Plain	1
22	Non-Native	Low	Plain	1
22	Non-Native	Low	Plain	1
22	Non-Native	Low	Plain	1
22	Non-Native	Low	Plain	1
22	Non-Native	Low	Plain	0
22	Non-Native	Low	Plain	0
22	Non-Native	Low	Plain	0
22	Non-Native	Low	Plain	0
22	Non-Native	Low	Plain	0
22	Non-Native	Low	Plain	0
22	Non-Native	Low	Plain	0
23	Non-Native	Low	Plain	1
23	Non-Native	Low	Plain	1
23	Non-Native	Low	Plain	1
23	Non-Native	Low	Plain	1
23	Non-Native	Low	Plain	1
23	Non-Native	Low	Plain	1
23	Non-Native	Low	Plain	1
23	Non-Native	Low	Plain	1
23	Non-Native	Low	Plain	0
23	Non-Native	Low	Plain	0
23	Non-Native	Low	Plain	0
23	Non-Native	Low	Plain	0
23	Non-Native	Low	Plain	0
23	Non-Native	Low	Plain	0
23	Non-Native	Low	Plain	0
24	Non-Native	Low	Plain	1
24	Non-Native	Low	Plain	1
24	Non-Native	Low	Plain	1
24	Non-Native	Low	Plain	1
24	Non-Native	Low	Plain	1
24	Non-Native	Low	Plain	1
24	Non-Native	Low	Plain	1
24	Non-Native	Low	Plain	1
24	Non-Native	Low	Plain	1
24	Non-Native	Low	Plain	0
24	Non-Native	Low	Plain	0
24	Non-Native	Low	Plain	0
24	Non-Native	Low	Plain	0
24	Non-Native	Low	Plain	0
24	Non-Native	Low	Plain	0
25	Non-Native	Low	Plain	1
25	Non-Native	Low	Plain	1
25	Non-Native	Low	Plain	1
25	Non-Native	Low	Plain	1
25	Non-Native	Low	Plain	1
25	Non-Native	Low	Plain	1
25	Non-Native	Low	Plain	0
25	Non-Native	Low	Plain	0
25	Non-Native	Low	Plain	0
25	Non-Native	Low	Plain	0
25	Non-Native	Low	Plain	0
25	Non-Native	Low	Plain	0
25	Non-Native	Low	Plain	0
25	Non-Native	Low	Plain	0
25	Non-Native	Low	Plain	0
26	Non-Native	Low	Plain	1
26	Non-Native	Low	Plain	1
26	Non-Native	Low	Plain	1
26	Non-Native	Low	Plain	1
26	Non-Native	Low	Plain	0
26	Non-Native	Low	Plain	0
26	Non-Native	Low	Plain	0
26	Non-Native	Low	Plain	0
26	Non-Native	Low	Plain	0
26	Non-Native	Low	Plain	0
26	Non-Native	Low	Plain	0
26	Non-Native	Low	Plain	0
26	Non-Native	Low	Plain	0
26	Non-Native	Low	Plain	0
26	Non-Native	Low	Plain	0
27	Non-Native	Low	Plain	1
27	Non-Native	Low	Plain	1
27	Non-Native	Low	Plain	1
27	Non-Native	Low	Plain	1
27	Non-Native	Low	Plain	1
27	Non-Native	Low	Plain	1
27	Non-Native	Low	Plain	0
27	Non-Native	Low	Plain	0
27	Non-Native	Low	Plain	0
27	Non-Native	Low	Plain	0
27	Non-Native	Low	Plain	0
27	Non-Native	Low	Plain	0
27	Non-Native	Low	Plain	0
27	Non-Native	Low	Plain	0
27	Non-Native	Low	Plain	0
28	Non-Native	Low	Plain	1
28	Non-Native	Low	Plain	1
28	Non-Native	Low	Plain	1
28	Non-Native	Low	Plain	1
28	Non-Native	Low	Plain	1
28	Non-Native	Low	Plain	1
28	Non-Native	Low	Plain	1
28	Non-Native	Low	Plain	0
28	Non-Native	Low	Plain	0
28	Non-Native	Low	Plain	0
28	Non-Native	Low	Plain	0
28	Non-Native	Low	Plain	0
28	Non-Native	Low	Plain	0
28	Non-Native	Low	Plain	0
28	Non-Native	Low	Plain	0
29	Non-Native	Low	Plain	1
29	Non-Native	Low	Plain	1
29	Non-Native	Low	Plain	1
29	Non-Native	Low	Plain	1
29	Non-Native	Low	Plain	1
29	Non-Native	Low	Plain	1
29	Non-Native	Low	Plain	1
29	Non-Native	Low	Plain	1
29	Non-Native	Low	Plain	1
29	Non-Native	Low	Plain	0
29	Non-Native	Low	Plain	0
29	Non-Native	Low	Plain	0
29	Non-Native	Low	Plain	0
29	Non-Native	Low	Plain	0
29	Non-Native	Low	Plain	0
30	Non-Native	Low	Plain	1
30	Non-Native	Low	Plain	1
30	Non-Native	Low	Plain	1
30	Non-Native	Low	Plain	1
30	Non-Native	Low	Plain	1
30	Non-Native	Low	Plain	1
30	Non-Native	Low	Plain	1
30	Non-Native	Low	Plain	1
30	Non-Native	Low	Plain	1
30	Non-Native	Low	Plain	1
30	Non-Native	Low	Plain	1
30	Non-Native	Low	Plain	1
30	Non-Native	Low	Plain	0
30	Non-Native	Low	Plain	0
30	Non-Native	Low	Plain	0
31	Non-Native	Low	Plain	1
31	Non-Native	Low	Plain	1
31	Non-Native	Low	Plain	1
31	Non-Native	Low	Plain	1
31	Non-Native	Low	Plain	1
31	Non-Native	Low	Plain	1
31	Non-Native	Low	Plain	1
31	Non-Native	Low	Plain	0
31	Non-Native	Low	Plain	0
31	Non-Native	Low	Plain	0
31	Non-Native	Low	Plain	0
31	Non-Native	Low	Plain	0
31	Non-Native	Low	Plain	0
31	Non-Native	Low	Plain	0
31	Non-Native	Low	Plain	0
32	Non-Native	Low	Plain	1
32	Non-Native	Low	Plain	1
32	Non-Native	Low	Plain	1
32	Non-Native	Low	Plain	1
32	Non-Native	Low	Plain	1
32	Non-Native	Low	Plain	1
32	Non-Native	Low	Plain	0
32	Non-Native	Low	Plain	0
32	Non-Native	Low	Plain	0
32	Non-Native	Low	Plain	0
32	Non-Native	Low	Plain	0
32	Non-Native	Low	Plain	0
32	Non-Native	Low	Plain	0
32	Non-Native	Low	Plain	0
32	Non-Native	Low	Plain	0
33	Non-Native	Low	Plain	1
33	Non-Native	Low	Plain	1
33	Non-Native	Low	Plain	1
33	Non-Native	Low	Plain	1
33	Non-Native	Low	Plain	1
33	Non-Native	Low	Plain	1
33	Non-Native	Low	Plain	1
33	Non-Native	Low	Plain	1
33	Non-Native	Low	Plain	0
33	Non-Native	Low	Plain	0
33	Non-Native	Low	Plain	0
33	Non-Native	Low	Plain	0
33	Non-Native	Low	Plain	0
33	Non-Native	Low	Plain	0
33	Non-Native	Low	Plain	0
34	Non-Native	Low	Plain	1
34	Non-Native	Low	Plain	1
34	Non-Native	Low	Plain	1
34	Non-Native	Low	Plain	1
34	Non-Native	Low	Plain	1
34	Non-Native	Low	Plain	1
34	Non-Native	Low	Plain	1
34	Non-Native	Low	Plain	1
34	Non-Native	Low	Plain	1
34	Non-Native	Low	Plain	0
34	Non-Native	Low	Plain	0
34	Non-Native	Low	Plain	0
34	Non-Native	Low	Plain	0
34	Non-Native	Low	Plain	0
34	Non-Native	Low	Plain	0
35	Non-Native	Low	Plain	1
35	Non-Native	Low	Plain	1
35	Non-Native	Low	Plain	1
35	Non-Native	Low	Plain	1
35	Non-Native	Low	Plain	1
35	Non-Native	Low	Plain	1
35	Non-Native	Low	Plain	1
35	Non-Native	Low	Plain	1
35	Non-Native	Low	Plain	0
35	Non-Native	Low	Plain	0
35	Non-Native	Low	Plain	0
35	Non-Native	Low	Plain	0
35	Non-Native	Low	Plain	0
35	Non-Native	Low	Plain	0
35	Non-Native	Low	Plain	0
36	Non-Native	Low	Plain	1
36	Non-Native	Low	Plain	1
36	Non-Native	Low	Plain	1
36	Non-Native	Low	Plain	1
36	Non-Native	Low	Plain	1
36	Non-Native	Low	Plain	1
36	Non-Native	Low	Plain	0
36	Non-Native	Low	Plain	0
36	Non-Native	Low	Plain	0
36	Non-Native	Low	Plain	0
36	Non-Native	Low	Plain	0
36	Non-Native	Low	Plain	0
36	Non-Native	Low	Plain	0
36	Non-Native	Low	Plain	0
36	Non-Native	Low	Plain	0
37	Native	Low	Plain	1
37	Native	Low	Plain	1
37	Native	Low	Plain	1
37	Native	Low	Plain	1
37	Native	Low	Plain	1
37	Native	Low	Plain	1
37	Native	Low	Plain	1
37	Native	Low	Plain	1
37	Native	Low	Plain	1
37	Native	Low	Plain	0
37	Native	Low	Plain	0
37	Native	Low	Plain	0
37	Native	Low	Plain	0
37	Native	Low	Plain	0
37	Native	Low	Plain	0
38	Native	Low	Plain	1
38	Native	Low	Plain	1
38	Native	Low	Plain	1
38	Native	Low	Plain	1
38	Native	Low	Plain	1
38	Native	Low	Plain	1
38	Native	Low	Plain	1
38	Native	Low	Plain	1
38	Native	Low	Plain	1
38	Native	Low	Plain	0
38	Native	Low	Plain	0
38	Native	Low	Plain	0
38	Native	Low	Plain	0
38	Native	Low	Plain	0
