Subject	Condition	VOT	Pair	Consonant
S9	Competitor-Present	0.0774073	tP1	t
S9	No-Competitor	0.061832333	tP2	t
S9	No-Competitor	0.067340333	tP11	t
S9	Competitor-Present	0.076418333	tP2	t
S9	No-Competitor	0.071359667	tP1	t
S9	Competitor-Present	0.081605667	tP3	t
S9	No-Competitor	0.072465667	tP3	t
S9	Competitor-Present	0.092770667	tP4	t
S9	No-Competitor	0.083036	tP4	t
S9	Competitor-Present	0.085880333	tP6	t
S9	No-Competitor	0.065939667	tP6	t
S9	Competitor-Present	0.073193333	tP5	t
S9	No-Competitor	0.070867667	tP5	t
S9	No-Competitor	0.045802667	tP12	t
S9	Competitor-Absent	0.075726667	tP12	t
S9	No-Competitor	0.070832667	tP9	t
S9	Competitor-Absent	0.081063333	tP8	t
S9	No-Competitor	0.072945	tP8	t
S9	No-Competitor	0.064551333	tP7	t
S9	Competitor-Absent	0.070363	tP7	t
S9	Competitor-Absent	0.083780667	tP9	t
S9	Competitor-Absent	0.077835333	tP10	t
S9	No-Competitor	0.048989333	tP10	t
S10	Competitor-Absent	0.086373	kP10	k
S10	No-Competitor	0.08392	kP10	k
S10	No-Competitor	0.066488333	kP11	k
S10	Competitor-Absent	0.078199	kP11	k
S10	Competitor-Present	0.087494	kP1	k
S10	Competitor-Present	0.098300333	kP2	k
S10	Competitor-Absent	0.091165333	kP12	k
S10	No-Competitor	0.069028	kP1	k
S10	No-Competitor	0.0809	kP12	k
S10	Competitor-Absent	0.072895667	kP9	k
S10	No-Competitor	0.078841667	kP9	k
S10	No-Competitor	0.075191333	kP2	k
S10	Competitor-Present	0.096374	kP5	k
S10	No-Competitor	0.077429	kP5	k
S10	No-Competitor	0.072242333	kP6	k
S10	No-Competitor	0.065733	kP7	k
S10	Competitor-Absent	0.079112667	kP7	k
S10	No-Competitor	0.081582333	kP8	k
S10	Competitor-Absent	0.113739	kP8	k
S10	Competitor-Present	0.086432667	kP6	k
S10	No-Competitor	0.078151667	kP4	k
S10	Competitor-Present	0.076377	kP3	k
S10	No-Competitor	0.083809	kP3	k
S10	Competitor-Present	0.08342	kP4	k
S10	Competitor-Absent	0.050004333	pP6	p
S10	No-Competitor	0.037575	pP6	p
S10	Competitor-Absent	0.061104	pP2	p
S10	Competitor-Present	0.056844333	pP8	p
S10	Competitor-Absent	0.039664667	pP1	p
S10	No-Competitor	0.056512667	pP7	p
S10	Competitor-Present	0.078133	pP7	p
S10	No-Competitor	0.047289667	pP1	p
S10	No-Competitor	0.045653	pP8	p
S10	Competitor-Present	0.047876333	pP9	p
S10	No-Competitor	0.028074333	pP9	p
S10	No-Competitor	0.046997333	pP10	p
S10	Competitor-Present	0.061510667	pP10	p
S10	No-Competitor	0.042964667	pP2	p
S10	No-Competitor	0.048561667	pP12	p
S10	Competitor-Present	0.040781333	pP12	p
S10	No-Competitor	0.050929	pP11	p
S10	No-Competitor	0.050003333	pP3	p
S10	No-Competitor	0.038405667	pP4	p
S10	Competitor-Absent	0.069938667	pP5	p
S10	Competitor-Absent	0.056767667	pP4	p
S10	Competitor-Absent	0.051037	pP3	p
S10	No-Competitor	0.043711	pP5	p
S10	Competitor-Present	0.063155	pP11	p
S10	Competitor-Present	0.063456333	tP1	t
S10	No-Competitor	0.056382333	tP2	t
S10	No-Competitor	0.062749333	tP11	t
S10	Competitor-Present	0.089605333	tP2	t
S10	No-Competitor	0.064041	tP1	t
S10	Competitor-Present	0.084142333	tP3	t
S10	No-Competitor	0.091833	tP3	t
S10	Competitor-Present	0.063737667	tP4	t
S10	No-Competitor	0.062554	tP4	t
S10	Competitor-Present	0.078023667	tP6	t
S10	No-Competitor	0.069340667	tP6	t
S10	Competitor-Present	0.067056333	tP5	t
S10	No-Competitor	0.047961	tP5	t
S10	No-Competitor	0.066438333	tP12	t
S10	Competitor-Absent	0.060210667	tP12	t
S10	No-Competitor	0.058968333	tP9	t
S10	Competitor-Absent	0.060868667	tP8	t
S10	No-Competitor	0.057911333	tP8	t
S10	No-Competitor	0.068085	tP7	t
S10	Competitor-Absent	0.050097333	tP7	t
S10	Competitor-Absent	0.061339	tP9	t
S10	Competitor-Absent	0.0731412	tP10	t
S10	No-Competitor	0.056181667	tP10	t
S11	Competitor-Absent	0.089865333	kP10	k
S11	No-Competitor	0.096072333	kP10	k
S11	No-Competitor	0.082729667	kP11	k
S11	Competitor-Absent	0.083007333	kP11	k
S11	Competitor-Present	0.088301667	kP1	k
S11	Competitor-Present	0.086918667	kP2	k
S11	Competitor-Absent	0.088485667	kP12	k
S11	No-Competitor	0.076689667	kP1	k
S11	No-Competitor	0.073497667	kP12	k
S11	Competitor-Absent	0.1149	kP9	k
S11	No-Competitor	0.079298333	kP9	k
S11	No-Competitor	0.086549667	kP2	k
S11	Competitor-Present	0.099120667	kP5	k
S11	No-Competitor	0.085804667	kP5	k
S11	No-Competitor	0.076758	kP6	k
S11	No-Competitor	0.073263333	kP7	k
S11	Competitor-Absent	0.082557667	kP7	k
S11	No-Competitor	0.093596667	kP8	k
S11	Competitor-Absent	0.098089	kP8	k
S11	Competitor-Present	0.092097667	kP6	k
S11	No-Competitor	0.079937333	kP4	k
S11	Competitor-Present	0.086021667	kP3	k
S11	No-Competitor	0.092247	kP3	k
S11	Competitor-Present	0.091570667	kP4	k
S11	Competitor-Absent	0.056570333	pP6	p
S11	No-Competitor	0.063302333	pP6	p
S11	Competitor-Absent	0.069183	pP2	p
S11	Competitor-Present	0.073859667	pP8	p
S11	Competitor-Absent	0.054123333	pP1	p
S11	No-Competitor	0.061566667	pP7	p
S11	Competitor-Present	0.061621	pP7	p
S11	No-Competitor	0.048297333	pP1	p
S11	No-Competitor	0.054754	pP8	p
S11	Competitor-Present	0.049632	pP9	p
S11	No-Competitor	0.061565667	pP9	p
S11	No-Competitor	0.064915667	pP10	p
S11	Competitor-Present	0.073792667	pP10	p
S11	No-Competitor	0.064453	pP2	p
S11	No-Competitor	0.079446667	pP12	p
S11	Competitor-Present	0.077276	pP12	p
S11	No-Competitor	0.053142	pP11	p
S11	No-Competitor	0.061168333	pP3	p
S11	No-Competitor	0.064914667	pP4	p
S11	Competitor-Absent	0.072896333	pP5	p
S11	Competitor-Absent	0.063893667	pP4	p
S11	Competitor-Absent	0.068280333	pP3	p
S11	No-Competitor	0.063385	pP5	p
S11	Competitor-Present	0.061347667	pP11	p
S11	Competitor-Present	0.090618333	tP1	t
S11	No-Competitor	0.071116667	tP2	t
S11	No-Competitor	0.064802	tP11	t
S11	Competitor-Present	0.095345333	tP2	t
S11	No-Competitor	0.06536	tP1	t
S11	Competitor-Present	0.085636667	tP3	t
S11	No-Competitor	0.061498333	tP3	t
S11	Competitor-Present	0.079514	tP4	t
S11	No-Competitor	0.063423333	tP4	t
S11	Competitor-Present	0.095856667	tP6	t
S11	No-Competitor	0.082803667	tP6	t
S11	Competitor-Present	0.066227667	tP5	t
S11	No-Competitor	0.078742667	tP5	t
S11	No-Competitor	0.069203	tP12	t
S11	Competitor-Absent	0.087956667	tP12	t
S11	No-Competitor	0.075304	tP9	t
S11	No-Competitor	0.071748667	tP8	t
S11	No-Competitor	0.074083333	tP7	t
S11	Competitor-Absent	0.071585333	tP7	t
S11	Competitor-Absent	0.065701333	tP9	t
S11	Competitor-Absent	0.076317667	tP10	t
S11	No-Competitor	0.06607	tP10	t
S12	Competitor-Absent	0.078753333	kP10	k
S12	No-Competitor	0.080600333	kP10	k
S12	No-Competitor	0.074197667	kP11	k
S12	Competitor-Absent	0.077004333	kP11	k
S12	Competitor-Present	0.086453333	kP1	k
S12	Competitor-Present	0.096431333	kP2	k
S12	Competitor-Absent	0.094141	kP12	k
S12	No-Competitor	0.079384667	kP1	k
S12	No-Competitor	0.081165333	kP12	k
S12	Competitor-Absent	0.082500667	kP9	k
S12	No-Competitor	0.076983667	kP9	k
S12	No-Competitor	0.065466333	kP2	k
S12	Competitor-Present	0.103715333	kP5	k
S12	No-Competitor	0.084962333	kP5	k
S12	No-Competitor	0.080387667	kP6	k
S12	No-Competitor	0.080520667	kP7	k
S12	Competitor-Absent	0.070904667	kP7	k
S12	No-Competitor	0.087402	kP8	k
S12	Competitor-Absent	0.098778667	kP8	k
S12	Competitor-Present	0.075070667	kP6	k
S12	No-Competitor	0.088771	kP4	k
S12	Competitor-Present	0.081905667	kP3	k
S12	No-Competitor	0.080315333	kP3	k
S12	Competitor-Present	0.075717	kP4	k
S12	Competitor-Absent	0.074696	pP6	p
S12	No-Competitor	0.049773233	pP6	p
S12	Competitor-Absent	0.065157667	pP2	p
S12	Competitor-Present	0.068165	pP8	p
S12	Competitor-Absent	0.073225	pP1	p
S12	No-Competitor	0.049899333	pP7	p
S12	Competitor-Present	0.060437333	pP7	p
S12	No-Competitor	0.067252	pP1	p
S12	No-Competitor	0.053641333	pP8	p
S12	Competitor-Present	0.077231667	pP9	p
S12	No-Competitor	0.054780667	pP9	p
S12	No-Competitor	0.056411667	pP10	p
S12	Competitor-Present	0.083550333	pP10	p
S12	No-Competitor	0.067075333	pP2	p
S12	No-Competitor	0.061548333	pP12	p
S12	Competitor-Present	0.058958667	pP12	p
S12	No-Competitor	0.059663333	pP11	p
S12	No-Competitor	0.057070333	pP3	p
S12	No-Competitor	0.072343333	pP4	p
S12	Competitor-Absent	0.065244	pP5	p
S12	Competitor-Absent	0.064043333	pP4	p
S12	Competitor-Absent	0.063201333	pP3	p
S12	No-Competitor	0.056780667	pP5	p
S12	Competitor-Present	0.066539	pP11	p
S12	Competitor-Present	0.082166333	tP1	t
S12	No-Competitor	0.070522	tP2	t
S12	No-Competitor	0.072026167	tP11	t
S12	Competitor-Present	0.073001	tP2	t
S12	No-Competitor	0.072152	tP1	t
S12	Competitor-Present	0.078612	tP3	t
S12	No-Competitor	0.070635	tP3	t
S12	Competitor-Present	0.082989667	tP4	t
S12	No-Competitor	0.076837667	tP4	t
S12	Competitor-Present	0.072750667	tP6	t
S12	No-Competitor	0.080819	tP6	t
S12	Competitor-Present	0.057840333	tP5	t
S12	No-Competitor	0.067107333	tP5	t
S12	No-Competitor	0.069529667	tP12	t
S12	Competitor-Absent	0.075284667	tP12	t
S12	No-Competitor	0.088001667	tP9	t
S12	Competitor-Absent	0.076716	tP8	t
S12	No-Competitor	0.055030667	tP8	t
S12	No-Competitor	0.068924667	tP7	t
S12	Competitor-Absent	0.062652667	tP7	t
S12	Competitor-Absent	0.060507	tP9	t
S12	Competitor-Absent	0.0761358	tP10	t
S12	No-Competitor	0.074029	tP10	t
