Subject	Condition	VOT	Pair	Consonant
S3	Competitor-Absent	0.067745333	kP1	k
S3	Competitor-Absent	0.072629333	kP2	k
S3	Competitor-Present	0.079099	kP12	k
S3	No-Competitor	0.067964333	kP1	k
S3	No-Competitor	0.080255	kP12	k
S3	Competitor-Present	0.099680667	kP9	k
S3	No-Competitor	0.080080333	kP9	k
S3	No-Competitor	0.072734	kP2	k
S3	Competitor-Absent	0.084001	kP5	k
S3	No-Competitor	0.086902	kP5	k
S3	No-Competitor	0.061601667	kP6	k
S3	No-Competitor	0.069340667	kP7	k
S3	Competitor-Present	0.063898333	kP7	k
S3	No-Competitor	0.071805333	kP8	k
S3	Competitor-Present	0.086233667	kP8	k
S3	Competitor-Absent	0.084144667	kP6	k
S3	No-Competitor	0.075755667	kP4	k
S3	Competitor-Absent	0.071816	kP3	k
S3	No-Competitor	0.058748333	kP3	k
S3	Competitor-Absent	0.065548667	kP4	k
S3	Competitor-Present	0.049107333	pP6	p
S3	No-Competitor	0.047658	pP6	p
S3	Competitor-Present	0.061043333	pP2	p
S3	Competitor-Absent	0.053791667	pP8	p
S3	Competitor-Present	0.060993333	pP1	p
S3	No-Competitor	0.056971667	pP7	p
S3	Competitor-Absent	0.064353667	pP7	p
S3	No-Competitor	0.056031333	pP1	p
S3	No-Competitor	0.039746667	pP8	p
S3	Competitor-Absent	0.053863	pP9	p
S3	No-Competitor	0.209351333	pP9	p
S3	No-Competitor	0.059173667	pP10	p
S3	Competitor-Absent	0.061056667	pP10	p
S3	No-Competitor	0.053554667	pP2	p
S3	No-Competitor	0.058165667	pP12	p
S3	Competitor-Absent	0.053069667	pP12	p
S3	No-Competitor	0.052508333	pP11	p
S3	No-Competitor	0.065261	pP3	p
S3	No-Competitor	0.052596667	pP4	p
S3	Competitor-Present	0.059318667	pP5	p
S3	Competitor-Present	0.066879333	pP4	p
S3	Competitor-Present	0.070662667	pP3	p
S3	No-Competitor	0.037014	pP5	p
S3	Competitor-Absent	0.042816333	pP11	p
S3	Competitor-Absent	0.070054667	tP1	t
S3	No-Competitor	0.071634667	tP2	t
S3	No-Competitor	0.044667333	tP11	t
S3	Competitor-Present	0.085255667	tP11	t
S3	Competitor-Absent	0.071544	tP2	t
S3	No-Competitor	0.062187667	tP1	t
S3	Competitor-Absent	0.086943	tP3	t
S3	No-Competitor	0.076717667	tP3	t
S3	Competitor-Absent	0.089195667	tP4	t
S3	No-Competitor	0.071949	tP4	t
S3	Competitor-Absent	0.053797	tP6	t
S3	No-Competitor	0.059562333	tP6	t
S3	Competitor-Absent	0.055848333	tP5	t
S3	No-Competitor	0.051132333	tP5	t
S3	No-Competitor	0.049995333	tP12	t
S3	Competitor-Present	0.056948667	tP12	t
S3	No-Competitor	0.057551667	tP9	t
S3	Competitor-Present	0.073265667	tP8	t
S3	No-Competitor	0.056200667	tP8	t
S3	No-Competitor	0.066408	tP7	t
S3	Competitor-Present	0.092152333	tP7	t
S3	Competitor-Present	0.072687333	tP9	t
S3	Competitor-Present	0.073037	tP10	t
S3	No-Competitor	0.054634333	tP10	t
S4	Competitor-Present	0.118095	kP10	k
S4	No-Competitor	0.112446333	kP10	k
S4	No-Competitor	0.114684667	kP11	k
S4	Competitor-Present	0.098571	kP11	k
S4	Competitor-Absent	0.125727667	kP1	k
S4	Competitor-Absent	0.143874667	kP2	k
S4	Competitor-Present	0.114801	kP12	k
S4	No-Competitor	0.114344667	kP1	k
S4	No-Competitor	0.116254333	kP12	k
S4	Competitor-Present	0.123675	kP9	k
S4	No-Competitor	0.12271	kP9	k
S4	No-Competitor	0.107402667	kP2	k
S4	Competitor-Absent	0.127647333	kP5	k
S4	No-Competitor	0.115649667	kP5	k
S4	No-Competitor	0.119682	kP6	k
S4	No-Competitor	0.119947033	kP7	k
S4	Competitor-Present	0.106148	kP7	k
S4	No-Competitor	0.113223333	kP8	k
S4	Competitor-Present	0.110798667	kP8	k
S4	Competitor-Absent	0.118438	kP6	k
S4	No-Competitor	0.113216333	kP4	k
S4	Competitor-Absent	0.121869	kP3	k
S4	No-Competitor	0.120258	kP3	k
S4	Competitor-Absent	0.118353667	kP4	k
S4	Competitor-Present	0.109306667	pP6	p
S4	No-Competitor	0.074081	pP6	p
S4	Competitor-Present	0.090093	pP2	p
S4	Competitor-Absent	0.098336333	pP8	p
S4	Competitor-Present	0.096802667	pP1	p
S4	No-Competitor	0.095066667	pP7	p
S4	Competitor-Absent	0.097566333	pP7	p
S4	No-Competitor	0.102589667	pP1	p
S4	No-Competitor	0.094377933	pP8	p
S4	Competitor-Absent	0.118557667	pP9	p
S4	No-Competitor	0.076641333	pP9	p
S4	No-Competitor	0.093528	pP10	p
S4	Competitor-Absent	0.099218	pP10	p
S4	No-Competitor	0.089379	pP2	p
S4	No-Competitor	0.0832185	pP12	p
S4	Competitor-Absent	0.096392333	pP12	p
S4	No-Competitor	0.073188	pP11	p
S4	No-Competitor	0.079738333	pP3	p
S4	No-Competitor	0.081393667	pP4	p
S4	Competitor-Present	0.085289667	pP5	p
S4	Competitor-Present	0.085634333	pP4	p
S4	Competitor-Present	0.090448667	pP3	p
S4	No-Competitor	0.082415333	pP5	p
S4	Competitor-Absent	0.098088667	pP11	p
S4	Competitor-Absent	0.149569333	tP1	t
S4	No-Competitor	0.098708667	tP2	t
S4	No-Competitor	0.072877	tP11	t
S4	Competitor-Absent	0.134372	tP2	t
S4	No-Competitor	0.078814667	tP1	t
S4	Competitor-Absent	0.107123667	tP3	t
S4	No-Competitor	0.102942	tP3	t
S4	Competitor-Absent	0.117785	tP4	t
S4	No-Competitor	0.088578	tP4	t
S4	Competitor-Absent	0.1061067	tP6	t
S4	No-Competitor	0.089112	tP6	t
S4	Competitor-Absent	0.132245333	tP5	t
S4	No-Competitor	0.087497333	tP5	t
S4	No-Competitor	0.101565	tP12	t
S4	Competitor-Present	0.100398667	tP12	t
S4	No-Competitor	0.092487333	tP9	t
S4	Competitor-Present	0.095455	tP8	t
S4	No-Competitor	0.10138	tP8	t
S4	No-Competitor	0.090548	tP7	t
S4	Competitor-Present	0.113986667	tP7	t
S4	Competitor-Present	0.11795	tP9	t
S4	Competitor-Present	0.119419667	tP10	t
S4	No-Competitor	0.108686333	tP10	t
S5	Competitor-Present	0.079082667	kP10	k
S5	No-Competitor	0.073280667	kP10	k
S5	No-Competitor	0.0596106	kP11	k
S5	Competitor-Present	0.07837	kP11	k
S5	Competitor-Absent	0.100672	kP1	k
S5	Competitor-Absent	0.082851333	kP2	k
S5	Competitor-Present	0.091308	kP12	k
S5	No-Competitor	0.064318	kP1	k
S5	No-Competitor	0.061458667	kP12	k
S5	Competitor-Present	0.089665	kP9	k
S5	No-Competitor	0.213088667	kP9	k
S5	No-Competitor	0.069739333	kP2	k
S5	Competitor-Absent	0.084468	kP5	k
S5	No-Competitor	0.06803	kP5	k
S5	No-Competitor	0.080670333	kP6	k
S5	No-Competitor	0.070854	kP7	k
S5	Competitor-Present	0.079707667	kP7	k
S5	No-Competitor	0.069494	kP8	k
S5	Competitor-Present	0.091937333	kP8	k
S5	Competitor-Absent	0.077833	kP6	k
